Values,Values_10_08_38,Values_10_17_14,Values_10_25_44,Values_10_34_18,Values_10_42_55,Values_10_51_35,Values_10_54_55
-0.532927224,-0.487658099,-0.486106125,-0.471345101,-0.45501515,-0.439903566,-0.426473906,-0.421804322
-0.608887657,-0.565098661,-0.559932017,-0.541810638,-0.522694707,-0.505313927,-0.490027867,-0.484742347
-0.679647697,-0.637230498,-0.628311383,-0.606778065,-0.58484239,-0.56516183,-0.547990115,-0.542077973
-0.74473632,-0.703569161,-0.690790557,-0.665825104,-0.641062515,-0.619073361,-0.600004551,-0.593461006
-0.803722516,-0.763673363,-0.746961371,-0.718576009,-0.691006672,-0.666722542,-0.645763619,-0.638590017
-0.856218691,-0.817148394,-0.796463916,-0.764703749,-0.734375422,-0.70783263,-0.685009287,-0.677213205
-0.901883154,-0.863648505,-0.838988277,-0.803931168,-0.770918994,-0.74217643,-0.717533034,-0.709128289
-0.940421757,-0.902878342,-0.874275316,-0.836031238,-0.80043709,-0.769575731,-0.74317498,-0.734181522
-0.97158875,-0.93459354,-0.902116644,-0.86082652,-0.822777929,-0.7899,-0.761822282,-0.752266
-0.995186964,-0.958600598,-0.922353906,-0.878187987,-0.837836685,-0.803064492,-0.773406978,-0.763319401
-1.011067453,-0.974756193,-0.934877549,-0.888033365,-0.845553473,-0.809027941,-0.777903407,-0.767321328
-1.019128723,-0.982966086,-0.939625228,-0.890325155,-0.845911049,-0.807789978,-0.775325403,-0.764290412
-1.019315688,-0.983183776,-0.936580005,-0.885068482,-0.838932366,-0.799388443,-0.765723383,-0.754281333
-1.011618478,-0.975409032,-0.925768474,-0.872308913,-0.824678138,-0.783896719,-0.749181491,-0.737381894
-0.996071218,-0.959686423,-0.907258936,-0.85213036,-0.803244507,-0.761421207,-0.725814902,-0.713710268
-0.972750856,-0.936103943,-0.881159701,-0.824653155,-0.774760934,-0.732099052,-0.695767403,-0.683412531
-0.941776118,-0.904791784,-0.847617604,-0.790032371,-0.739388371,-0.696096184,-0.659209326,-0.646660551
-0.903306612,-0.865921292,-0.806816736,-0.748456429,-0.697317751,-0.653605725,-0.616335879,-0.603650301
-0.857542112,-0.819704103,-0.758977422,-0.700145989,-0.648768843,-0.604846796,-0.567365915,-0.554600612
-0.804721978,-0.766391442,-0.704355415,-0.645353131,-0.593989434,-0.550063714,-0.512541142,-0.499752383
-0.745124679,-0.706273509,-0.643241246,-0.584360775,-0.533254818,-0.489525554,-0.452125741,-0.439368225
-0.679067362,-0.639678914,-0.575959696,-0.517482279,-0.466867553,-0.423526024,-0.386406356,-0.373732486
-0.606905367,-0.56697404,-0.502869274,-0.445061152,-0.395157381,-0.352383589,-0.315692375,-0.303151585
-0.529031609,-0.488562276,-0.424361641,-0.36747078,-0.318481252,-0.276441738,-0.240316415,-0.22795457
-0.445875725,-0.404882993,-0.34086087,-0.285114074,-0.237223332,-0.196069301,-0.160634893,-0.14849378
