Values,Values_06_01_55,Values_06_11_26,Values_06_20_56,Values_06_30_24,Values_06_39_53,Values_06_50_08,Values_07_00_37,Values_07_11_06,Values_07_21_58,Values_07_32_36,Values_07_43_12,Values_07_53_24,Values_08_03_32,Values_08_13_44,Values_08_23_54,Values_08_34_03,Values_08_44_25,Values_08_54_43,Values_09_05_00,Values_09_14_34,Values_09_24_16,Values_09_34_02,Values_09_43_45,Values_09_53_32,Values_10_03_39,Values_10_13_27,Values_10_23_14,Values_10_33_27,Values_10_43_37,Values_10_53_41,Values_11_02_32
0.1289335524734499,0.0977457035197861,0.0960949098212898,0.1042906509070142,0.1130329004413961,0.1208320165255693,0.1269830524220577,0.1262450596905741,0.1073538570771341,0.0750214202401044,0.0386689028039261,0.0018442095319936,-0.0341602906435659,-0.0686611006695102,-0.1012408285094025,-0.1316767410927476,-0.1599008018920037,-0.1859566331662749,-0.2099584125339544,-0.2320578792697631,-0.2524210637404489,-0.2712134582296806,-0.288591468736259,-0.304698144866425,-0.3196616454509711,-0.3335953426847952,-0.3465988185415871,-0.3587592684990231,-0.3701530165017672,-0.3808469759420272,-0.3908999765585109,-0.3990726618519928
0.1616828127845891,0.1266182148859538,0.1248381882465388,0.1340405435674891,0.1438716868905449,0.1526750490651708,0.1596715273429089,0.1590641946250846,0.1383990806215702,0.1029447244589204,0.0631421173047292,0.022886604613375,-0.0164248895972595,-0.0540601497849674,-0.0895736552563497,-0.1227296966293451,-0.1534596595012975,-0.1818154898504434,-0.2079250761135692,-0.2319564321205003,-0.254092478636485,-0.2745150217071141,-0.2933955615437028,-0.3108907423267764,-0.3271407609054137,-0.3422695410288204,-0.3563858636107062,-0.3695849283626222,-0.3819500274685611,-0.3935541538735526,-0.404461458849301,-0.4133277477621011
0.1992854476990348,0.1601012074243548,0.1582001195407477,0.1684705236177932,0.179460406865819,0.1893393287824098,0.1972515924647375,0.1968291078883305,0.174399291845787,0.1358156156997262,0.0925687347397723,0.0489032155485119,0.0063158819384464,-0.0344162623051976,-0.0728222719240182,-0.1086553255800175,-0.1418475370171258,-0.1724600820030705,-0.2006351664944773,-0.2265574618000485,-0.2504269991737625,-0.2724420044303735,-0.2927891014792262,-0.3116385097246338,-0.3291424153701873,-0.3454352289274349,-0.3606348578611852,-0.3748444314104798,-0.3881541360839721,-0.4006429729658343,-0.412380346807172,-0.4219203242006536
0.2419311862556136,0.1983513314160847,0.1963389582458685,0.2077474747363563,0.2199759073621785,0.231012145860933,0.2399210148868913,0.2397457543267614,0.2155617711412868,0.1738390980340868,0.1271518951711118,0.0800962568613644,0.0342639580974894,-0.0095273842625161,-0.0507842440441759,-0.0892506330483151,-0.124860752330595,-0.1576859527873175,-0.1878833951698814,-0.2156548150898294,-0.241217592713642,-0.2647864933162858,-0.2865633039026415,-0.3067318067105162,-0.3254561333616141,-0.3428811194251604,-0.3591337284379911,-0.3743249455317941,-0.3885517781101182,-0.4018991640645259,-0.4144416933660929,-0.4246348823890313
0.2897448613099455,0.2414599076860075,0.2393482104243149,0.2519736941743114,0.265530781075872,0.2778171814249181,0.2878149510738985,0.287959091118767,0.2620353758692834,0.2171649447693886,0.167042914874144,0.1166195265255232,0.0675761474213587,0.0207665253110226,-0.023296245945094,-0.0643490470263907,-0.1023295756111508,-0.1373203314713163,-0.1694940829237509,-0.199070043828068,-0.2262831831482824,-0.2513649229666213,-0.2745322479910513,-0.2959824846760059,-0.3158916591953872,-0.3344149633335009,-0.3516883392065458,-0.3678305475134969,-0.3829453368397418,-0.3971235047102867,-0.410444752656607,-0.4212694283742094
0.3427857596100131,0.2894534182806627,0.2872571899612976,0.3011871971775348,0.3161734150571734,0.3298143575565629,0.3410056737542019,0.3415528805772541,0.3139108423805449,0.26588874164513,0.2123430871434383,0.1585809186466889,0.1063673008558262,0.0565872599409817,0.0097702460066472,-0.0338156237323699,-0.0741129957622933,-0.1112165051131751,-0.1453151758272753,-0.1766460995157677,-0.2054620540724519,-0.2320112135382332,-0.2565257721355136,-0.2792165596791725,-0.3002714250260928,-0.3198558279466518,-0.338114593986529,-0.3551741631446234,-0.3711449311548671,-0.3861234651574209,-0.4001944930581044,-0.41162688836565586
0.4010493598030847,0.3422966140227972,0.3400341697120027,0.3553645739559359,0.371890541928618,0.3870021341940742,0.3995046834111624,0.4005518106892894,0.3712233509540842,0.32005514388016,0.2631076388731538,0.2060470252259801,0.1507154976320031,0.0980240765603675,0.048515133480606,0.0024595503243947,-0.0400917508628536,-0.079246518188602,-0.1152106495774745,-0.1482394730390298,-0.1786037502838814,-0.2065684567399258,-0.2323809640400878,-0.2562655236361429,-0.2784216979657094,-0.299025093075519,-0.3182292929514716,-0.3361682941519772,-0.3529590220791992,-0.3687037026924631,-0.3834919866353164,-0.3955054133266843
0.4644694476349845,0.3998962162415589,0.3975900944841266,0.4144243709513759,0.4326102683149777,0.4493202251773967,0.4632651677092396,0.4649238743823548,0.4339552498751178,0.3796611862543111,0.3193496228767935,0.2590475491928718,0.2006669163062378,0.1451389675095599,0.0930153177656016,0.0445672838487811,-0.0001621385538924,-0.0412947529745958,-0.0790538887168549,-0.1137133969358942,-0.1455621233788425,-0.1748818217760003,-0.2019349413585231,-0.2269590118357166,-0.2501651448671962,-0.2717389220607293,-0.2918425176502698,-0.3106173240301793,-0.3281866454048932,-0.3446582263659065,-0.3601265107095655,-0.3726904296407439
0.5329180113040402,0.462102589422205,0.4597802218744182,0.4782283690875857,0.4982029579288285,0.5166501098074271,0.5321821770811973,0.534580353060351,0.5020362362875422,0.4446568821253583,0.3810409182199816,0.3175766395352723,0.256237443918506,0.1979684928981012,0.1433267126098062,0.0925814383329535,0.0457662568646633,0.0027444349679955,-0.0367252493168757,-0.0729353500367059,-0.1061927898509872,-0.1367959758538468,-0.1650222416031955,-0.1911221677198849,-0.2153181763057477,-0.2378055883967816,-0.2587549430339745,-0.2783148176997969,-0.2966147007938904,-0.3137676770186575,-0.3298728200290236,-0.3429519053377076
0.6062000409775581,0.5287064628414598,0.5264007587803041,0.5465778358551973,0.5684770534855761,0.5888104253674455,0.6060875960923793,0.6093704633145922,0.5753380047129486,0.5149400591970065,0.4481072218709164,0.3815879702519187,0.3174077875921442,0.2565188848682797,0.1994793117350774,0.1465539374724871,0.0977655009238789,0.0529615708051357,0.0118827071324496,-0.0257823815749992,-0.0603585455225859,-0.0921605875179031,-0.1214804119725634,-0.1485813162031224,-0.1736967000566876,-0.1970313058867724,-0.2187637407749809,-0.2390494945225816,-0.2580239911103248,-0.2758054296689126,-0.29249730907802,-0.3060505615361188
