Values,Values_00_43_17,Values_00_53_14,Values_01_03_03,Values_01_13_14,Values_01_23_35,Values_01_33_56,Values_01_44_17,Values_01_54_38,Values_02_04_59,Values_02_15_28,Values_02_25_45,Values_02_36_33,Values_02_47_27,Values_02_58_25,Values_03_09_15,Values_03_20_13
-0.5073699244246498,-0.4970028727255241,-0.4896800996466326,-0.4863080499685933,-0.4849762204807668,-0.4848455541344884,-0.4854785002518266,-0.4866195902559834,-0.48811079650327,-0.4898495947160671,-0.4917659999871567,-0.493809652791276,-0.4959425281171671,-0.4981348316924969,-0.5003626974094857,-0.5026068860412211,-0.5048520202033581
-0.540942086244224,-0.529601829957507,-0.521553344156825,-0.517809281751409,-0.5162831369496516,-0.5160619311572222,-0.5166702476772757,-0.5178305254479165,-0.5193710436272005,-0.5211803977227145,-0.5231825636343422,-0.5253228623924807,-0.5275600281516111,-0.5298617390596397,-0.532202107698164,-0.5345602625270098,-0.5369195147405085
-0.5685514552126865,-0.5562437828161154,-0.5474649883306947,-0.5433361507290576,-0.5415978313314102,-0.5412650651300732,-0.5418256934601033,-0.542980718553314,-0.5445451263460088,-0.546398893065311,-0.5484601393238868,-0.5506700059656887,-0.5529840975553979,-0.5553676562922419,-0.557792849674721,-0.5602372368620742,-0.5626828687431766
-0.5899050797899662,-0.5766316866638875,-0.5671143784135346,-0.562584960453033,-0.5606138560003252,-0.5601459244366542,-0.5606333225145933,-0.5617562317474715,-0.5633167201196719,-0.565186389884497,-0.5672776802909314,-0.5695276848928942,-0.5718889859601135,-0.5743244791022436,-0.5768044619064946,-0.5793049870981625,-0.5818068969206783
-0.6047596727516964,-0.5905179701121225,-0.5802500786848057,-0.5753009455937228,-0.5730733845237569,-0.5724437739549542,-0.5728295819444637,-0.5738907485123806,-0.575416776107897,-0.5772711239312303,-0.5793607147315049,-0.581618722055007,-0.5839948098623227,-0.5864496148243897,-0.5889516392321946,-0.5914754925361928,-0.5940008609182278
-0.6129372650653931,-0.597720248775678,-0.5866856223455995,-0.5812940324641421,-0.5787829671435101,-0.5779619168224839,-0.5782146036318606,-0.5791812734709594,-0.5806391958313563,-0.5824439053882075,-0.584496965630511,-0.5867277528827478,-0.5890831143933309,-0.5915215146195264,-0.5940097352874955,-0.5965210066017341,-0.5990339126790307
-0.6143348665334576,-0.5981310584826075,-0.5863092943694215,-0.5804486418618487,-0.5776233381117503,-0.5765774971694163,-0.5766619966562689,-0.577497910763847,-0.578850593004912,-0.5805678624521525,-0.5825460749261181,-0.5847109293232539,-0.5870065565983952,-0.5893893358020085,-0.591824403794293,-0.5942836771508312,-0.5967446939316876
-0.608929474728552,-0.5917229515924562,-0.5790892931659937,-0.5727288855237107,-0.5695546312946966,-0.5682467257632605,-0.5681240772923355,-0.5687890947198226,-0.5699955224440251,-0.5715836668440835,-0.5734448245359821,-0.5755011356801946,-0.5776941156741793,-0.5799781462762064,-0.5823167971677932,-0.5846807393515768,-0.5870465235516099
-0.5967782774995747,-0.5785488033589913,-0.565074120930805,-0.5581790106584351,-0.5546168639611632,-0.55300539445327,-0.5526324087909517,-0.5530821515852338,-0.5540970615537681,-0.5555101336429409,-0.5572077536392126,-0.5591086228096942,-0.5611517438062363,-0.563289591938121,-0.5654842505519411,-0.5677052165311026,-0.5699281154776217
-0.5780142407218907,-0.5587375220221474,-0.5443883995822552,-0.5369192942985559,-0.5329258961676925,-0.5309648929965644,-0.5302938710297489,-0.5304794191413214,-0.5312529781516014,-0.5324404362564396,-0.5339234202030659,-0.5356173159268683,-0.5374587201997926,-0.5393982970307531,-0.5413967287097761,-0.5434224138963598,-0.5454501196088317
-0.552838014775932,-0.5324860977422542,-0.5172250502215462,-0.5091383299094858,-0.5046658135262897,-0.5023046819065216,-0.5012832198646403,-0.5011508904712774,-0.5016284574948284,-0.5025349161482237,-0.5037472932324171,-0.5051777894490806,-0.5067607087491833,-0.508445004973411,-0.51019005040542,-0.5119632268752842,-0.5137385145124076
-0.5215067812537242,-0.5000486126745474,-0.4838344603128617,-0.4750823339632321,-0.4700783653769065,-0.4672618581407172,-0.4658327781142085,-0.4653240291501311,-0.4654460412966355,-0.4660111457479287,-0.4668919399166933,-0.4679975788839658,-0.4692601952562581,-0.4706271415323705,-0.472056578144349,-0.4735149580222163,-0.4749755520408535
-0.4843224568863231,-0.4617246286968747,-0.44451305559935,-0.4350438915249496,-0.4294518801980515,-0.4261202386902317,-0.4242216867566217,-0.4232731881555771,-0.4229752148929712,-0.4231336846805316,-0.4236169518701048,-0.4243312780845986,-0.4252067566993248,-0.4261892570542081,-0.4272358342430996,-0.428312107693734,-0.4293907232691336
-0.4416185577760725,-0.4178462539942973,-0.3995905767898638,-0.3893494408946392,-0.3831089588820136,-0.3791982636182075,-0.3767640190251714,-0.3753079364710112,-0.3745209479205914,-0.3742028361406524,-0.3742179188138484,-0.3744697317879306,-0.3748864740706691,-0.3754126609082024,-0.376004358022883,-0.3766264549656494,-0.3772510639248436
-0.393751741531796,-0.3687699007735312,-0.3494220685536594,-0.3383515012717446,-0.3313989468274185,-0.3268417167986897,-0.3238017531434015,-0.3217662867315491,-0.3204171795425203,-0.3195483921813605,-0.3190204362331853,-0.3187343077511855,-0.3186164708897919,-0.3186102280428556,-0.318670781831974,-0.3187624042929362,-0.31885677260515943
-0.3410919169109878,-0.3148666179656068,-0.2943784589340498,-0.2824195160120654,-0.2746890519708477,-0.2694151260692343,-0.2656964600117082,-0.2630066748091698,-0.2610190936746187,-0.2595222078952661,-0.2583729814749539,-0.2574700774030918,-0.2567384007258174,-0.256120195374768,-0.2555699379719671,-0.2550514043211481,-0.2545359425040536
-0.2840218051296846,-0.2565218701154318,-0.23484658748819,-0.2219401575813493,-0.2133649429437124,-0.2073026651956012,-0.2028305165047427,-0.1994094902554596,-0.1967049713575604,-0.1945003798064005,-0.1926494217173727,-0.191048656491261,-0.189621623197182,-0.1883096754063988,-0.1870667118008518,-0.1858561419545155,-0.18464909755184236
-0.2229424842637776,-0.1941412830646696,-0.1712351910934241,-0.1573235904518893,-0.1478373103839803,-0.1409150271180772,-0.1356143000234528,-0.1313845991952434,-0.1278840476175206,-0.1248914413856641,-0.1222575521302114,-0.1198770893006397,-0.1176724371478424,-0.1155842407801524,-0.1135659796293998,-0.1115808351244675,-0.10959984117372525
