Values,Values_03_44_43,Values_03_57_23,Values_04_09_41,Values_04_21_59,Values_04_34_37,Values_04_47_02,Values_04_58_00,Values_05_08_50,Values_05_20_17,Values_05_31_24,Values_05_42_15,Values_05_53_29,Values_06_04_58,Values_06_16_14,Values_06_27_37
1.5834548693277757,1.7727240651071434,1.8320071472130204,1.920450750290176,1.9750213689988456,2.0202800704606223,2.072069191886693,2.1271933136996526,2.174633410466232,2.2120734146719654,2.241956090673501,2.26672083427353,2.287953821096372,2.3066316943510907,2.323385655741847,2.3386508848065293
1.613317863828334,1.8024310129220964,1.8614686568094585,1.949618238848217,2.0040308869363987,2.049176937474141,2.100852688567349,2.1558714882682124,2.203230264866615,2.2406106467591966,2.270448596734314,2.29517878453384,2.316384511287973,2.3350404751697766,2.3517763965606897,2.367026271712757
1.6476126889310925,1.836671427316917,1.895508565215031,1.9833762645964887,2.0376313972470137,2.082663568484478,2.1342248575918963,2.1891374976531486,2.2364141436154004,2.2737339222542405,2.303525916763528,2.328220083576652,2.349396901486424,2.368029184504372,2.384745228968579,2.3999778981471778
1.686252559429129,1.8753791989172548,1.9340771343986511,2.021685032706068,2.0757870239679046,2.1207061972194694,2.1721533661519468,2.2269597410744555,2.274153670249081,2.311411883436207,2.3411566424828782,2.36581323668552,2.386959379345394,2.4055660646125463,2.4222602291697157,2.4374736629898854
1.7290033591747875,1.9183406284025888,1.976977809359215,2.064358940689213,2.1183167052475915,2.1631263063274533,2.214461442790828,2.2691623816345547,2.316273374411677,2.353469209504529,2.383165542704819,2.4077830787620296,2.428896823638985,2.4474760148556234,2.464146296972807,2.479338452576962
1.7754750906347945,1.9651852462951551,2.02385764551689,2.111056742419891,2.1648842461519,2.209590618810247,2.260817825753537,2.3154152723291617,2.362443611577991,2.3995765367740893,2.429223486311234,2.453800701198237,2.4748805359001205,2.4934305288196907,2.5100750988659137,2.5252440898913897
1.8251201290441128,2.01538337134287,2.074204402542771,2.161278291499,2.2149948957860435,2.2596075747934714,2.31073316598751,2.36523031324984,2.4121768954143734,2.449246774988208,2.478843745484891,2.503379743445943,2.5244245215266514,2.5429439660926363,2.559561331424276,2.5747055902991525
1.877238614951736,2.0682507647536315,2.127350671281405,2.214368232863169,2.26799881651816,2.312530659794001,2.363563249509057,2.4179646031701734,2.464831004217945,2.5018381792589053,2.5313850366508395,2.5558794046085134,2.576888473516374,2.595376509693584,2.6119656539127543,2.6270840706073577
1.930990979016265,2.122960401697119,2.182485067267893,2.269526684422744,2.323101490767566,2.367568632017846,2.418519088492443,2.472830436324413,2.51961891315708,2.5565642298691547,2.586061351588483,2.6105142275293645,2.631487511154177,2.649943861212233,2.6665043418118555,2.681596362835312
1.9854172398079508,2.17856103216934,2.238670177850006,2.3258266109934533,2.379380777052569,2.4238023669809725,2.474683605156369,2.52891187358252,2.575625285830401,2.612510057109706,2.641958319051675,2.666370398494338,2.687308419247304,2.705733421506792,2.722265411187695,2.7373310845471113
2.039462369021748,2.2340018601684712,2.294866609805084,2.3822372602682105,2.435810000727157,2.4802077163893603,2.531034315455948,2.5851873040253084,2.631828948988713,2.6686548419430864,2.698055533971774,2.7224280053737773,2.7433318360396184,2.761726410011744,2.7782306715802894,2.793270627817014
2.09200670412608,2.288162358259952,2.349962175831511,2.437652729741241,2.491286170111854,2.535683488246531,2.586471133662113,2.6405571306087805,2.6871304952450057,2.723899347353906,2.753254018325693,2.777588426853685,2.798459570470826,2.816825110882211,2.8333029027955106,2.848318269021151
