Values,Values_04_08_03,Values_04_17_47,Values_04_27_29,Values_04_37_11,Values_04_46_53,Values_04_56_22
0.9610338041851724,0.7880368926651484,0.7901744834486124,0.7523109229026412,0.7263509634281285,0.7059488077894092,0.6863384009299043
0.9611710000273754,0.7938092911327889,0.799063157814731,0.7624695754060701,0.7370680388458734,0.7171569939978625,0.6979462581882359
0.961313007092514,0.7998147255340801,0.8083593325632205,0.7732666654280362,0.7486957967841982,0.7295840790682151,0.7111282254762848
0.9614598806958046,0.8060395902812604,0.8180309077672677,0.7846536364430592,0.7611702531994154,0.7431505382320944,0.7257895112006036
0.9616116716470924,0.8124692428906725,0.8280441022748364,0.7965791670133819,0.7744230102408857,0.75777021946418,0.7418258533527688
0.9617684258637004,0.8190880580695222,0.8383636462504739,0.8089895208295154,0.7883817854405182,0.773351073536998,0.7591244593104598
0.9619301839787896,0.8258794887196106,0.8489529866905333,0.8218289197764783,0.8029709813829685,0.7897959507895869,0.7775650483149242
0.9620969809463092,0.8328261334687453,0.8597745041008584,0.8350399364137985,0.8181122899642892,0.807003456058879,0.7970209853986765
0.9622688456436324,0.8399098102531386,0.870789738324856,0.8485639018898907,0.8337253246725153,0.8248688520552515,0.8173604936794922
0.9624458004730873,0.8471116353881724,0.8819596213248103,0.8623413249814819,0.8497282737139774,0.8432850003850796,0.8384479301718147
0.962627860963596,0.8544121074814902,0.8932447145538547,0.8763123176643765,0.8660385662810619,0.8621433284659138,0.8601451086505243
0.9628150353737612,0.8617911954632274,0.9046054484145326,0.8904170223912715,0.8825735438277017,0.8813348097776462,0.8823126516935409
0.9630073242977324,0.8692284299344216,0.9160023611857716,0.9045960360826364,0.8992511279034205,0.9007509442770284,0.9048113528870785
0.9632047202753024,0.8767029969681912,0.9273963347174884,0.918790825735032,0.915990475909753,0.9202847254026844,0.9275035293561654
0.9634072074076876,0.8841938334402691,0.9387488241439218,0.9329441305230288,0.9327126160954654,0.9398315799373982,0.950254344331617
0.963614760980548,0.8916797229178668,0.950022078856576,0.9470003453210176,0.949341053208511,0.9592902670934216,0.9729330794229492
0.9638273470958072,0.8991393910997642,0.9611793520076382,0.9609058807026531,0.9658023364780608,0.9785637235563728,0.9954143366616695
0.9640449223139276,0.9065515997777184,0.9721850958872554,0.9746094946904372,0.9820265820114538,0.9975598418688748,1.0175791512248966
0.964267433308302,0.913895238280752,0.9830051406342138,0.9880625918258028,0.9979479422560557,1.0161921704521193,1.0393159970431605
0.9644948165335012,0.9211494113711012,0.9936068539004828,1.0012194855098606,1.0135050158891494,1.0343805247402158,1.0605216692209214
0.9647269979091222,0.9282935225841816,1.0039592792952865,1.0140376200230012,1.0286411923499057,1.0520515003179018,1.0811020293205653
0.9649638925210562,0.9353073520459252,1.0140332516833743,1.026477749163217,1.0433049262031284,1.069138880579522,1.100972602032764
0.9652054043419828,0.9421711278594048,1.0238014877029258,1.0385040690414806,1.0574499376078117,1.0855839332315165,1.1200590145180553
0.9654514259729704,0.9488655902291726,1.0332386501986317,1.0500843032298943,1.0710353363355032,1.1013355919029582,1.1382972726866145
