Values,Values_02_33_35,Values_02_42_28,Values_02_51_22,Values_03_00_11,Values_03_09_12,Values_03_18_02,Values_03_26_59,Values_03_35_58,Values_03_44_56,Values_03_53_32,Values_03_53_53
1.0027709061251762,1.2105460597177726,1.3159875639373588,1.428064272078032,1.5385573556419276,1.639850946294138,1.724945453301597,1.79150523387305,1.841178698896056,1.8772075934269723,1.9028961144208896,1.9037500432560561
1.0029790805712349,1.1988825602567748,1.2857352824136516,1.379546022095285,1.4743477702914696,1.5635006226719117,1.6398275845819292,1.7002737797032426,1.7457431429160148,1.7788916341634893,1.802605789204385,1.8033951677792301
1.003182705929606,1.1868044007863443,1.2545921601595476,1.3296008209587629,1.4081681175761165,1.4846945957478073,1.55186163177105,1.6058974785170557,1.646946725199928,1.6770608813321015,1.698692265083553,1.6994135086193953
1.0033824070731834,1.1743639196319802,1.222670706971556,1.2783965901466268,1.3402318389535897,1.4036799261518804,1.4613176146151714,1.5086614227481672,1.5450843276203876,1.5720166021573747,1.5914610161673448,1.5921106749409002
1.0035788097288407,1.161615017015586,1.190088447100997,1.226111641276708,1.2707691854064145,1.3207266915789024,1.368493771157205,1.4088829243481231,1.4404859877541594,1.4640973201324008,1.481256255016835,1.4818310634050216
1.0037725372934532,1.148613005381255,1.1569676618953848,1.1729343432269808,1.2000268335154365,1.2361275844396336,1.2737161681526066,1.3069111558926545,1.3335165755356504,1.3536785244354468,1.368460669065862,1.3689575955407416
1.0039642076370598,1.1354144461583144,1.1234350717775512,1.1190626428388992,1.128267245863306,1.1501971446761876,1.1773378537474344,1.2031262620921483,1.2245748875745004,1.2411717593578275,1.2534945105547166,1.2539108077530077
1.0041544299055276,1.1220769730281863,1.0896214570991212,1.0647034383416432,1.055767774254105,1.0632706246566022,1.0797375469008874,1.097937933450647,1.1140921483271429,1.1270230807983297,1.1368140253636914,1.1371472792977169
1.0043438013355548,1.1086591019573997,1.0556612184209782,1.0100718073165065,0.9828195092391158,0.97570249053303,0.9813178676586284,0.991783445110714,1.0025299198149409,1.011710880230887,1.018909220071483,1.0191573975100656
1.0045329040951323,1.0952200284581588,1.021691877798036,0.9553900937237778,0.9097258845340386,0.8878645721658152,0.8825031224755756,0.8851251759159751,0.8903774349958513,0.8957430909872491,0.9003009817179424,0.9004624747511717
