Values,Values_03_46_31,Values_03_58_19,Values_04_09_56,Values_04_21_33,Values_04_33_24,Values_04_45_36,Values_04_56_17,Values_05_06_35,Values_05_17_24,Values_05_27_48,Values_05_38_09,Values_05_48_51,Values_05_59_46,Values_06_10_21,Values_06_21_10,Values_06_31_48,Values_06_41_54,Values_06_51_05,Values_07_00_05
0.5362788517402034,0.3397300499182199,0.2017061852855627,0.1218350997824949,0.0908752872988634,0.0745562899271147,0.0626753902677868,0.0563984913491582,0.0550218177629949,0.0561414288888689,0.058596707918544,0.0620756526373207,0.0664706634072472,0.0716494199253501,0.0774272358541006,0.0835917685610347,0.089928347832648,0.0962356418902738,0.1023332220717569,0.10806414504287265
0.6042918771145718,0.3961566897007135,0.2481987280850155,0.1613993618462609,0.1272467980288891,0.1089982292924036,0.0957250099540173,0.0886667188696883,0.0869565781176196,0.0879126814770422,0.0902464105877808,0.0936185950722607,0.0979250373992414,0.1030387318409259,0.1087758077303913,0.1149208977769437,0.1212542358654672,0.1275686516837594,0.1336779097390166,0.13941968920254044
0.6722372090959403,0.4523900750792135,0.2941433659859404,0.2000861383794253,0.1625601738265358,0.1422603419459512,0.1275111257314521,0.1196286608883234,0.1175661659878255,0.118343840135713,0.1205365290795719,0.1237767235921935,0.1279649994607148,0.1329814108382091,0.1386443826423593,0.1447366602075031,0.1510342387531072,0.1573247574316949,0.1634166660872038,0.16914264027351317
0.7388899496856558,0.5072315891660953,0.3383415465658087,0.2367035229948666,0.1956301175591052,0.1731626648509349,0.1568595308246614,0.1481169414571831,0.1456902484694317,0.1462810695608302,0.1483189428263107,0.1514068902929796,0.155451765904169,0.1603425741556821,0.1659016450109301,0.1719110818089696,0.1781435860346665,0.184382324309283,0.1904309789659177,0.19611763823568787
0.8029941734155736,0.5594591002517272,0.3795767728337593,0.2700476043885227,0.2252629899921046,0.2005194662960918,0.1825923768539523,0.1729623152950913,0.1701681172115503,0.1705714993022406,0.1724477458909206,0.1753693397675068,0.1792510569287506,0.1839928927330787,0.1894228277861678,0.1953236845380678,0.2014659109905762,0.2076289961881006,0.2136124632049388,0.21924027684408665
0.863300302515226,0.6078643464060636,0.4166526141324481,0.2989408950593539,0.2502953326270081,0.223177769841131,0.2035666189091181,0.1930319379157042,0.1898767397274282,0.1901010647515221,0.1918169054814229,0.1945652135867613,0.1982704702553046,0.2028458513389807,0.2081268715922667,0.213898553194211,0.2199302308839262,0.2259985927453127,0.2318996762513207,0.2374538379979576
0.9186045942618986,0.6512921521912299,0.4484324044270361,0.3222721883760598,0.2696336038320943,0.2400569175827205,0.21871333649187,0.2072683491400842,0.2037693684171822,0.2038327606567979,0.2053981984382477,0.2079742078959206,0.2114968915420111,0.215894936541879,0.2210134089365269,0.2266411297039257,0.232547561298615,0.2385075507473171,0.2443143908594555,0.24978539839400082
0.9677872205548188,0.688677932537748,0.473877037324767,0.3390342028780364,0.2822914586868517,0.250185483704435,0.2270742266478022,0.214725456449081,0.2109109867832522,0.2108415803113907,0.2122756924416515,0.2146886443137626,0.2180301950543492,0.2222469991286856,0.2271958133111772,0.2326709680409504,0.238443391323886,0.244287130173787,0.2499935398086823,0.25537751808586096
1.009855034496658,0.719089574170211,0.4920869126330334,0.3483650392725914,0.2874305883340088,0.2527415504155259,0.2278412817809541,0.2146075355963256,0.2105166174470122,0.2103521720786257,0.2116828095278367,0.2139499964640681,0.2171192808096271,0.2211578405202696,0.2259363656527772,0.2312565049181564,0.2368920772839435,0.2426174454119732,0.2482228954519532,0.25352157643945117
1.0439587258666907,0.7417433824479812,0.5023176670632006,0.3495630578255816,0.2843747304019587,0.2470659672069586,0.2203692871564334,0.2062809043299065,0.2019621716345121,0.2017489159040315,0.2030116953000092,0.2051576139886059,0.2081702066027602,0.21203979658783,0.2166533253642936,0.2218216464110217,0.2273229675050726,0.2329331459093244,0.2384423200859826,0.24366260289608585
