Values,Values_02_26_59,Values_02_44_01,Values_03_01_39,Values_03_16_17
1.5249741399336518,1.510327806114992,1.4902691707847309,1.4700583232671451,1.4523455825057061
1.6268344377297792,1.6128002282097629,1.5934180274013117,1.5739739067260563,1.5569958545355176
1.7319196749878347,1.71854355108237,1.6999038586151989,1.681291372225994,1.6651023776944651
1.8397408007488767,1.8270605391918155,1.8092204829556675,1.7914943003523511,1.77613874443131
1.9497629364429965,1.937807161727641,1.920813689538846,1.9040170162085863,1.8895282556468795
2.061410833322161,2.0501980920660507,2.034086762898678,2.018250175210562,2.004649592910269
2.17406223298828,2.163600176300751,2.1483940523091904,2.133534474283817,2.120830690531325
2.287046644962824,2.2773313943040443,2.26304012079538,2.2491600333599413,2.237348358814794
2.399644770325358,2.390660551639844,2.3772797239596284,2.3643667068143084,2.3534289240766584
2.5110912894148227,2.502810420640306,2.4903213389941614,2.478348043938933,2.468252600175318
2.6205812496558254,2.612964557006692,2.601334461421485,2.5902591032183917,2.580961781497896
2.727280826786916,2.720278542587838,2.7094613971501125,2.699228820637527,2.6906739298838445
2.8303425850452664,2.8238957441097217,2.813833601761085,2.804376941967504,2.7964990253852857
2.928924867751449,2.92296717231968,2.913592100649234,2.9048349986312605,2.8975610108997816
3.022214259906362,3.016674330169216,3.007910820080521,2.999770096972337,2.9930219472233266
3.109449441025692,3.104253317123489,3.096021038110163,3.088409672210908,3.0821069809006256
3.1899442482233407,3.185017969703236,3.177234687767676,3.1700648945817216,3.164127776875671
3.2631075482793133,3.258379617091397,3.2509640637664114,3.244150256288098,3.2385019303987175
3.328457661230221,3.323861200368797,3.316735680576233,3.310197092776463,3.304766123432795
3.385629581181284,3.3811040338573504,3.374196588409061,3.3678593798473777,3.36258140443468
3.434374048059159,3.429866317179208,3.4231123085167754,3.416911027122194,3.411729869477025
3.474548485090017,3.470013480415278,3.4633565387975103,3.457234892349523,3.452103037396756
3.506100787661002,3.50150141672762,3.494893756885775,3.488804719466258,3.483683189708446
3.529047753693023,3.524354451304058,3.517756635004656,3.5116619810399983,3.5065197133806416
3.543450469441092,3.5386404012133745,3.532020670423206,3.525890077375002,3.520702938776616
3.5493891827309247,3.544445276951118,3.537778610493013,3.531588497436025,3.52633809741327
3.5469401012279773,3.541850060562469,3.535117113578751,3.5288493866330417,3.5235218439033513
3.5361562111353884,3.5309116345730724,3.5240977070586204,3.517738566541065,3.512323369220723
3.5170536872309133,3.511649398221492,3.5047435506200864,3.498282483532768,3.4927715514349806
3.489604867061209,3.484038501336137,3.477032896728791,3.470461936895907,3.4648489554345687
3.4537381409030825,3.4480100025119422,3.4408995116299685,3.434212803987011,3.4284928568702755
3.40934450425404,3.403457655956605,3.3962397183273336,3.3894333788630298,3.3836028659043795
3.356290027089901,3.3502505463453964,3.3429252434780548,3.335997467335712,3.330054258851609
3.2944330964595494,3.2882504048137218,3.2808206737869825,3.2737720154076824,3.267715769694831
3.223645014718272,3.2173321794680403,3.2098040808042976,3.2026378149925514,3.196470372902742
3.1438324006912213,3.1374063139835213,3.1297892674710504,3.122511739840672,3.116237511305723
3.05495979587707,3.048441156608119,3.040748071645321,3.033368959884465,3.026995229987071
2.957070939888031,2.9504839939820253,2.9427312436885025,2.935263673817253,2.9288007773156544
2.850307293400648,2.84367932303975,2.835886538969354,2.8283470283510064,2.821808366816386
2.734922545278268,2.728283131568832,2.7204728231654896,2.712881049098188,2.7062829492300837
2.61129208239976,2.6046721938216346,2.596869219410049,2.5892476343766,2.5826090657866185
2.479916672309095,2.473347649869038,2.4655785812859983,2.457951910866381,2.4512940944501787
2.341419961826521,2.3349324798184647,2.3272249100088724,2.3196195763306613,2.3129655199356782
2.1965398417834416,2.1901629212412685,2.182544764197697,2.17498827791304,2.168362275508209
2.046114180310145,2.039874322521075,2.0323731497091195,2.024893508787452,2.018320634783707
1.891061897938736,1.8849823903328364,1.8776248393288808,1.870249965680856,1.8637555895187734
