Values,Values_00_35_44,Values_00_44_51
0.039418045039937,0.0290504614208681,0.030962710286615604
0.168207121182822,0.1629546865333339,0.16584830039209383
0.2937314048525367,0.2934625440299943,0.29732989327296255
0.4160603834409423,0.4206112294432423,0.42544121893977127
0.5351861259213425,0.5443657930280741,0.5501437005638932
0.6510123504817802,0.6646078936912327,0.6713152095798341
0.7633526823999127,0.7811336623687425,0.7887479409159854
0.8719372895711861,0.8936599020690494,0.9021546392321353
0.9764264519631106,1.0018372114049807,1.0111817647785517
1.0764292220287723,1.105268210497266,1.1154277774902486
1.1715251759642404,1.2035288834927025,1.2144645514012289
1.2612873043743822,1.296191094530336,1.3078599725622662
1.345304302073183,1.3828445404291836,1.3951999791193113
1.4232008464246313,1.4631167295597358,1.4761086279839517
1.4946548385628589,1.5366899588813137,1.5502651551425723
1.5594109734590496,1.6033146512864729,1.6174173873277773
1.6172903698341865,1.662818779776992,1.6773912279889935
1.668196294007706,1.7151134081334314,1.7300962446633033
1.7121162443742444,1.7601946109360669,1.7755276191557934
1.749120828769638,1.7981422023306814,1.813764889573643
1.779359956477023,1.8291157935710385,1.8449680048986914
1.8030569014368991,1.8533487353220388,1.8693712495746695
1.8205007906668431,1.871140499111153,1.8872755946190611
1.832038025449226,1.8828480065258253,1.8990399863762701
1.8380630838471737,1.888876356034881,1.9050720254678772
1.8390090863364887,1.889669330423408,1.905818421546313
1.8353384209122845,1.8856999819125435,1.901755523287117
1.82753365227156,1.877461519511877,1.8933801501456198
1.8160888713443,1.8654586538308904,1.8812008825931976
1.8015015716821376,1.8501994837495968,1.8657298962103583
1.7842650918644058,1.8321879609401608,1.8474753761018847
1.7648616191861486,1.811916923392316,1.8269345028182007
1.7437557159684465,1.7898616544301174,1.8045869659517049
1.721388322088298,1.7664739154958125,1.7808889531289054
1.6981711866893514,1.7421764001979607,1.7562675612281418
1.6744816906912612,1.7173575659955174,1.731115585537387
1.650658047330871,1.6923668260980294,1.7057866688974321
1.6269949027160893,1.6675101198688107,1.6805908287989586
1.6037393960876123,1.643045919024827,1.6557904196965159
1.5810877748540515,1.6191817638635924,1.6315966250708727
1.5591826909690132,1.5960714570047307,1.608166607376386
