Values_03_17_59,Values_03_26_33,Values_03_35_07,Values_03_43_50,Values_03_53_09,Values_04_03_46,Values_04_29_11
1.076198476,1.041945002,1.041691785,1.054108605,1.070100943,1.084872703,1.074383883
1.086233089,1.05553024,1.06018583,1.077420351,1.097538354,1.115546897,1.109342838
1.092622584,1.066038559,1.076083871,1.098512382,1.123032369,1.144472633,1.140012241
1.099618806,1.077689129,1.09356802,1.121531174,1.150698679,1.17574109,1.171538886
1.106950049,1.090185311,1.112316373,1.146130857,1.180170609,1.208968863,1.20557264
1.114720341,1.103603321,1.132377101,1.172333377,1.211447614,1.244137516,1.24151093
1.122900887,1.117885044,1.15366294,1.200024536,1.244392629,1.281091911,1.279401419
1.131494551,1.133002234,1.176115045,1.229117541,1.278895361,1.319703329,1.31904239
1.140491748,1.148912719,1.199659539,1.25950988,1.314829444,1.359826831,1.360305482
1.149882252,1.165572343,1.22421961,1.291095561,1.352064798,1.401313713,1.403029676
1.159652036,1.182932011,1.249712761,1.323762557,1.390465232,1.444009236,1.447056347
1.169784148,1.200938741,1.276052059,1.357394228,1.429890021,1.487754311,1.49221954
1.18025853,1.219535676,1.303146336,1.391869702,1.470194416,1.53238612,1.538350103
1.191052141,1.238662392,1.330900687,1.427064537,1.511230456,1.577739026,1.585275616
1.202139015,1.258255145,1.3592169,1.462851315,1.552847682,1.623645394,1.632821565
1.213490367,1.278247148,1.387993916,1.499100256,1.59489388,1.669936415,1.680812128
1.225074698,1.298568866,1.41712828,1.535679816,1.637215793,1.71644291,1.729071056
1.236857919,1.319148303,1.446514597,1.572457281,1.67965982,1.762996108,1.77742249
1.248803496,1.339911309,1.476045987,1.609299341,1.72207269,1.809428387,1.825691756
1.260872598,1.360781884,1.505614526,1.646072653,1.764302113,1.855573991,1.873706124
1.273024262,1.38168249,1.535111679,1.682644376,1.80619739,1.901269698,1.921295529
1.285215571,1.402534358,1.564428727,1.718882677,1.847609992,1.946355443,1.968293233
1.297401836,1.423257794,1.593457165,1.754657221,1.888394096,1.990674889,2.014536442
1.309536791,1.443772486,1.622089095,1.789839611,1.928407074,2.034075951,2.059866868
1.321572796,1.463997802,1.650217585,1.824303801,1.967509933,2.076411249,2.10413122
1.33346104,1.483853077,1.677737018,1.857926472,2.005567708,2.117538502,2.147181638
1.345151757,1.5032579,1.704543405,1.890587358,2.042449788,2.15732086,2.188876044
1.356594437,1.52213238,1.730534674,1.92216954,2.078030195,2.195627156,2.229078432
1.367738047,1.540397409,1.755610934,1.952559682,2.112187798,2.232332095,2.267659071
1.378531247,1.55797491,1.779674708,1.981648231,2.144806464,2.267316363,2.304494636
1.388922605,1.574788067,1.802631133,2.009329566,2.175775154,2.300466667,2.339468252
1.39886082,1.590761548,1.824388134,2.035502105,2.204987947,2.331675694,2.372469465
1.408294928,1.605821703,1.844856569,2.060068357,2.232344018,2.360842009,2.403394129
1.417174517,1.619896763,1.863950339,2.082934943,2.257747543,2.38786987,2.432144222
1.425449931,1.632917007,1.881586481,2.104012562,2.281107562,2.412668992,2.458627582
1.433072468,1.644814928,1.897685223,2.12321593,2.30233778,2.435154234,2.482757583
1.439994577,1.655525378,1.912170025,2.140463675,2.321356332,2.455245247,2.504452742
1.446170045,1.664985704,1.924967594,2.155678205,2.3380855,2.472866062,2.523636275
1.451554179,1.673135873,1.936007888,2.168785553,2.352451399,2.487944646,2.540235606
1.456103977,1.679918585,1.945224093,2.179715196,2.364383642,2.500412426,2.554181838
1.4597783,1.685279383,1.952552608,2.188399865,2.373814981,2.510203792,2.565409201
1.462538025,1.689166746,1.957933008,2.194775349,2.380680944,2.517255595,2.573854482
1.464346202,1.691532194,1.96130802,2.198780296,2.384919477,2.521506645,2.579456457
1.465168197,1.692330378,1.962623493,2.200356032,2.386470592,2.522897225,2.582155328
1.464971834,1.691519178,1.961828384,2.199446386,2.385276047,2.521368639,2.58189219
1.463727521,1.689059799,1.958874761,2.195997551,2.381279051,2.516862793,2.578608534
1.461408381,1.684916879,1.953717818,2.189957978,2.374424032,2.509321845,2.572245809
1.457990373,1.679058602,1.946315927,2.181278307,2.364656445,2.498687912,2.562745041
1.453452403,1.671456814,1.936630717,2.169911365,2.351922666,2.484902874,2.550046547
1.447776443,1.662087167,1.924627184,2.155812208,2.33616996,2.467908266,2.534089742
1.440947627,1.650929263,1.910273856,2.138938253,2.317346551,2.447645294,2.514813062
1.432954366,1.637966821,1.893542992,2.119249468,2.295401787,2.42405497,2.492154015
1.423788439,1.623187858,1.874410835,2.096708664,2.270286435,2.397078389,2.466049379
1.413445092,1.606584892,1.852857922,2.071281867,2.24195309,2.366657165,2.436435554
1.401923136,1.588155162,1.828869441,2.042938797,2.210356728,2.332734028,2.403249096
