Values,Values_03_25_27,Values_03_34_43,Values_03_43_58,Values_03_53_14,Values_04_02_38,Values_04_11_54,Values_04_21_17,Values_04_31_48,Values_04_42_34,Values_04_53_24,Values_05_04_09,Values_05_15_01,Values_05_25_35,Values_05_36_17,Values_05_46_23,Values_05_56_24,Values_06_06_22,Values_06_08_21
1.3422008331435331,1.2581781870690256,1.2476551790333903,1.2399491905865403,1.2348010913502394,1.2318877488535285,1.2308014852786826,1.231182480864711,1.2327252320177504,1.2351778867239982,1.2383373326684215,1.2420417063052285,1.2461625503230398,1.25059782233663,1.2552661251087658,1.2601021245667674,1.2650529800642245,1.270075588683332,1.271085483848302
1.4194723777779958,1.3354433064959734,1.3249971291017164,1.317393706356226,1.3123452820001,1.3095251587766272,1.308525561065596,1.3089871021562498,1.3106047974484594,1.3131272880713123,1.3163518939494137,1.3201171177436,1.3242948095865574,1.328783186909312,1.333501075725446,1.338383338116146,1.3433773100049426,1.348440051148439,1.3494576283475703
1.4974472960264833,1.4133766776264902,1.403012376895251,1.3955227662741028,1.3905860744793477,1.3878713991625995,1.3869707489252037,1.3875251099104258,1.3892299658903595,1.391834406746306,1.3951361467187289,1.3989740231374947,1.403220168023674,1.4077730384979308,1.4125516685177657,1.4174911052143089,1.4225388535874417,1.4276521316378628,1.428679440858776
1.5745074435111477,1.490355244338854,1.4800759348168846,1.472710057815594,1.4678959949566217,1.465297976448456,1.464507674790045,1.4651663773676866,1.4669699694354754,1.4696679281638283,1.4730583083821387,1.4769802368568392,1.481306090550716,1.4859345369475043,1.4907847953894815,1.495792081365323,1.500904057255704,1.5060780918074543,1.5071171487894939
1.6489020333255868,1.5646227626857525,1.5544288440977143,1.5471945304349464,1.5425121067891818,1.5400402563106357,1.5393701907804438,1.5401434117059032,1.5420561181400398,1.5448580917437529,1.5483476546580492,1.552364160983733,1.5567801816524776,1.5614945538217735,1.56642665064056,1.571511832234353,1.576697901289669,1.5819423657663103,1.582995081444092
1.7187992741056557,1.6343413834798088,1.6242296593496852,1.6171317832933838,1.612587309188274,1.6102486804128435,1.6097065161209427,1.6106024243741324,1.6126328043996394,1.615547633475939,1.6191454041046138,1.623265615264106,1.6277809639552892,1.6325904025591107,1.6376134154545945,1.642785475014852,1.6480545004125533,1.6533781221065604,1.6544462245848117
1.7823365512136615,1.6976417906728336,1.6876045044497785,1.6806440390836697,1.6762402356387152,1.6740385953771892,1.6736290016535833,1.6746530354525249,1.6768071509910998,1.679841381141968,1.6835542637574357,1.6877853361781887,1.692407333551007,1.6973192526875462,1.702440633465172,1.7077070176357645,1.7130664087604088,1.7184765365916812,1.7195614868843265
1.837673297448148,1.7526760540137762,1.7426998649184515,1.7358728742454532,1.7316079265381588,1.729542871859533,1.7292666986307446,1.7304207950204504,1.7327014876474325,1.735858688597937,1.739690823528055,1.7440373337771151,1.7487708815029226,1.7537904181290227,1.7590154678741603,1.7643815865856587,1.7698368201725292,1.7753389665371562,1.7764418693070902
1.883086461019546,1.797713114879047,1.7877780436335038,1.7810746390770775,1.7769412152561903,1.7750072578209553,1.7748606801035072,1.7761424735155016,1.7785486113467313,1.7818286670997927,1.7857807598046576,1.7902440688925343,1.7950910460490828,1.8002204857916952,1.8055518078037496,1.8110205123425576,1.81657463394262,1.8221719980361009,1.8232935087594508
1.9169303529591504,1.831098678828833,1.8211770613179827,1.8145803589953573,1.8105646282957544,1.8087502755803937,1.808723932928144,1.810125947141247,1.812651664051428,1.8160500547620464,1.8201186963999063,1.824696305636116,1.8296549569247045,1.834893152122536,1.8403300975630632,1.845901151867945,1.851554271047285,1.857247256396232,1.858387487420848
