Values,Values_05_23_46,Values_05_25_22
1.7643827023780234,1.844738609115176,1.8474893591078159
1.5891218186214036,1.6654332785575554,1.6679580720752147
1.412665694647631,1.484905199296027,1.4871974968588264
1.23584028563433,1.303989892925968,1.3060439732906506
1.0594931318490626,1.1235438060730902,1.1253548371487745
0.8844776975364895,0.9444285708144228,0.9459926636420742
0.7116393945815008,0.7674969592916508,0.7688112037752205
0.5418036384417619,0.5935808857063012,0.5946433678843627
0.3757661031896155,0.4234816269621093,0.42429142858521224
0.214285188504413,0.257962277744645,0.25851945971977763
0.0580765901638203,0.0977423329858997,0.09804790483490809
-0.0921902259298168,-0.0565058023411647,-0.05644992449448949
-0.2358939042220983,-0.2041586355702575,-0.20434967981038832
-0.3724617206116235,-0.3446420293604519,-0.34507642492080104
-0.5013690494443954,-0.4774305740621827,-0.47810401190361074
-0.6221380795489536,-0.6020461962312125,-0.6029536910176807
-0.7343360614251333,-0.7180562895085859,-0.7191922410790005
-0.837573345270948,-0.8250716315640322,-0.8264298843625664
-0.9315014378495275,-0.922744318960028,-0.924318218257493
-1.0158112705119655,-1.0107659157834776,-1.0125483598762455
-1.090231834441178,-1.0888659752205077,-1.0908494631176422
-1.1545292954640587,-1.156811049047891,-1.1589877234444608
-1.2085066634902442,-1.2144042622240585,-1.2167659478082251
-1.2520040559956025,-1.26148549364053,-1.26402373099752
-1.2848995490864803,-1.2979321577805694,-1.3006382333439344
-1.3071105764473612,-1.3236605484402133,-1.3265255211062752
-1.3185958073214368,-1.3386276762482436,-1.341642401418682
-1.3193573974464787,-1.34283349433097,-1.3459886462840405
-1.3094434807159867,-1.3363233802369328,-1.33960947384872
-1.2889507518084216,-1.319190724675937,-1.3225981376136786
-1.2580269759310805,-1.2915794634988529,-1.2950984600793725
-1.2168732566256084,-1.2536863840562615,-1.257307141991557
-1.1657458954130977,-1.205763039678164,-1.2094756809026994
-1.1049576948736173,-1.1481171234208165,-1.151911750097596
-1.0348785863239474,-1.081113181179289,-1.0849799178043344
-0.9559354920617822,-1.0051725722454723,-1.0091016145077287
-0.868611372718375,-0.9207726249879704,-0.9247542956960415
-0.7734434603966178,-0.8284449844346279,-0.8324697964033336
-0.6710207175486365,-0.7287731868558479,-0.7328319121721261
-0.561980596884968,-0.6223895310316213,-0.6264732756145414
-0.4470052031763547,-0.5099713410271471,-0.5140716228881043
-0.326816965554378,-0.3922367230556376,-0.3963455521808571
-0.2021739224785318,-0.2699399130958099,-0.2740498704411845
-0.0738646963875878,-0.1438662877591803,-0.1479706004942444
0.0572968040832969,-0.0148270732943724,-0.01891968317405814
0.1904769671945878,0.1163462612780944,0.11227063967252365
0.3248284102198163,0.248807989494047,0.24475382389827743
0.4594963622738157,0.3817045894430783,0.3776755015290051
0.5936256204988821,0.5141817991363752,0.5101805553499595
0.7263681974462038,0.6453923748247025,0.6414208986277191
0.8568917381946369,0.774504620587907,0.770564027503343
0.9843887037365404,0.9007116741668867,0.8968023300141301
1.108086203018934,1.0232414194249757,1.019363020901936
1.2272562215257243,1.1413667621217345,1.1375184375076857
1.3412258500439636,1.2544158636838556,1.2505962899906315
1.4493869936341055,1.3617818078462252,1.3579893393734894
1.5512049531387386,1.4629310925891914,1.459163894708615
1.6462252426651878,1.5574103170995643,1.5536664983745327
1.7340780680774996,1.6448505015857615,1.641128237186439
1.814480029592777,1.724968621526982,1.721266261414932
1.887232810178748,1.7975661404871175,1.793882297038656
1.9522188700022296,1.8625245853564287,1.8588581968781055
2.009394441989536,1.919798480590152,1.9161488493699426
2.058780360620292,1.969406189655371,1.9657729955329402
2.100451435617771,2.011419383294496,2.007802675934969
2.1345251849352653,2.045951947195375,2.0423521220456453
2.161150745662744,2.073149135867091,2.06956689994538
2.1804986940780147,2.09317768342247,2.0896140175371993
2.1927523506181323,2.106217420173182,2.102673543861414
2.198100951345053,2.112454746637882,2.108932091148041
2.1967348627773124,2.1120781121883856,2.1085783053618057
2.188842816440924,2.10527544857149,2.1018003137039756
2.174610974056421,2.0922333492262566,2.088784918128059
2.1542235280426887,2.0731376869393774,2.06971822565954
2.127864473738605,2.048175302774048,2.044787346979137
2.0957201605136824,2.017536378576178,2.0141827744949516
2.0579822563107584,1.981417140470461,1.9781010867052207
2.0148508142025303,1.940022601045015,1.9367476864251834
1.9665371929356672,1.893569115638354,1.890339348622874
1.913266658963268,1.842286605827856,1.8391064316808299
1.8552805690464749,1.7864203747593663,1.783294677728016
1.7928380921844518,1.726232496602975,1.7231665855058842
1.726217470223688,1.6620027992167223,1.6590023760731492
1.655716834631842,1.594029472331519,1.5911005848363653
1.5816546014276776,1.5226293324172944,1.5197783120832111
1.5043694572762074,1.448137760614073,1.4453711492074361
1.4242199336958432,1.3709083085963023,1.3682327760477444
1.341583554805157,1.291311950968807,1.2887342082327307
1.256855534416055,1.2097359493943929,1.2072626597785887
1.1704469997375455,1.1265822924367752,1.1242199847533427
1.0827827392964988,1.0422656939191517,1.0400206804619034
0.9942984935053268,0.9572111530013998,0.9550894548795918
0.90543783001807,0.8718511034327265,0.8698583852334024
0.8166486810374272,0.7866222158104496,0.7847637309660982
0.7283796457387528,0.7019619446740983,0.7002424923193823
0.6410761725176658,0.618304926192776,0.6167288197367895
0.5551767449102224,0.5360793439266227,0.534650391071191
