Values,Values_04_37_49,Values_04_47_52,Values_04_57_59,Values_05_08_34,Values_05_19_07,Values_05_29_03,Values_05_38_46,Values_05_43_48
0.6822385494659103,0.4885834913197923,0.3654221285653579,0.3124576563565244,0.2612630492128588,0.2124050279292185,0.1667092740615183,0.1241345020120929,0.10234957767696652
0.7625447695737534,0.5563188750968321,0.4280677900715318,0.3737288880174564,0.3205175268080816,0.2695040140729456,0.2217613149120112,0.1773120975838651,0.15458868336956713
0.8459639500081866,0.6269632192317116,0.4940021088625193,0.4386096153645908,0.3835619279618876,0.33051687126913,0.2808312274793612,0.2346043855117108,0.21099338930664543
0.931745728492274,0.6998482996773401,0.5626418625393984,0.5065699614650122,0.4499080032169674,0.3949902543051464,0.3434961170702534,0.2956155842777496,0.2711813965655455
1.018943153350526,0.7741237692751943,0.6332240066633472,0.5769010055678805,0.518891000521122,0.4622972223333563,0.4091622030458889,0.3597813911243336,0.33460301301155293
1.1063816371576798,0.8487240259782424,0.7047688276042201,0.6486756462970217,0.5896289918920316,0.5315953771635645,0.4770219423911984,0.4263251943252144,0.40049690519272657
1.1926357480661594,0.9223421102586392,0.7760497141300163,0.7207157855355311,0.6609881919576706,0.6017906818631248,0.5460165545726926,0.4942194414237732,0.4678508867926428
1.2760353285641812,0.9934321834841662,0.8455913459082135,0.791587763139496,0.731576266815582,0.6715290016653329,0.6148260242461197,0.5621742712445398,0.5353898677065343
1.3546574262915891,1.0601971466757776,0.9116531588934008,0.859583086653402,0.799720788705188,0.7391726024558144,0.6818438829477339,0.6286107695125482,0.6015483532999216
1.426497052707499,1.1207547299031868,0.9723917710750684,0.922878340525908,0.8636268755346164,0.802955774018233,0.7453310479460588,0.6918132247822256,0.6646219195229047
1.489379818829932,1.1730448879080886,1.0257655625020536,0.9794378139115116,0.9212777750350531,0.8608834993238421,0.803312773111371,0.749824557221065,0.7226618952005844
1.548573118383899,1.222436225544422,1.0771395164151758,1.0346171068352377,0.9780368712132826,0.9183318707266984,0.8611776175459054,0.8080440077926143,0.7810724278842462
1.6098264572928618,1.2747393587102118,1.1323058683477305,1.0941946416739534,1.0396837000632946,0.9810861254734148,0.9247167505283151,0.872267542751852,0.8456514797721919
1.6724675285945123,1.3293143407236003,1.1906017095367014,1.1574956397822844,1.1055431120035533,1.0484742682305277,0.993261524128642,0.9418289829570148,0.9157337399203241
1.7363396058168443,1.3860367867089918,1.2518730508098583,1.224348651305597,1.1754393762647757,1.120320725773209,1.066637225168192,1.016553930998931,0.991144625601216
1.8011035408403078,1.4445967903239028,1.315773722920177,1.2943847619806903,1.2489951859465651,1.1962449899035823,1.1444613447331875,1.0960577025071458,1.0714980500857694
1.8664685181601783,1.5047294077639168,1.3819951801274135,1.3672665464849838,1.325859895196234,1.275889236074922,1.2263706510569483,1.179971914033889,1.1564227712995623
1.9321324721076467,1.566153866480984,1.4502054273107898,1.442626651128858,1.4056476282544788,1.3588559425390063,1.311958348550416,1.267881225367179,1.245498928039601
1.997800202383781,1.6285906607228815,1.5200658684742911,1.5200842760790223,1.4879532920374832,1.4447234214217066,1.4007891546342603,1.3593380018768328,1.3382724959980947
2.0631805605906552,1.6917576753503198,1.5912273834686266,1.599241068577088,1.5723481247331224,1.5330409771765148,1.492394076440064,1.4538567371493871,1.4342495328700884
2.1279891315343096,1.7553718679130843,1.663332149652398,1.679682926410252,1.6583812862474157,1.6233302133210636,1.5862714251208672,1.5509147899707625,1.5328967749165805
