Values,Values_01_02_37,Values_01_12_43,Values_01_22_55,Values_01_33_15,Values_01_43_30,Values_01_53_49,Values_02_04_07,Values_02_14_31,Values_02_24_46,Values_02_35_26,Values_02_46_13,Values_02_56_59,Values_03_07_48,Values_03_18_42
0.4655934864758063,0.3860995597004349,0.3672736575321272,0.3796659774574922,0.396619728459389,0.413300232339929,0.427467702673425,0.4387480440472817,0.4399644017195458,0.409283766439147,0.3518973001135663,0.2874336916106023,0.2230577961860928,0.1607008010220826,0.1011720388661237
0.5335537362975679,0.4474362093353674,0.4273332184738529,0.4408824597294657,0.4594825801464544,0.4779311609719756,0.4937225925239593,0.506400985866471,0.508285925511491,0.4760733526480235,0.41552376469793,0.3477171257255541,0.2802161932554184,0.2149715796579604,0.15276963119449166
0.6060335914898847,0.5129848672890869,0.4915894446838647,0.5063728025139124,0.5267401139256496,0.5471114035067941,0.5646885217173898,0.5789191030229366,0.5816058415759758,0.5479459077535503,0.4843109622807015,0.4132769594849338,0.3427979051125059,0.2748274798599018,0.21011751666199996
0.6826773075402746,0.5824057039156816,0.5597105675439935,0.5758069277432492,0.5980666390298655,0.6205248067776489,0.6400623738866377,0.6560137736782446,0.659652523228415,0.6246539242673029,0.5580423553613951,0.4839306987439152,0.4106548208846017,0.340153638561404,0.2731322093991684
0.763025451327485,0.6552676984714948,0.6312754943944506,0.6487637510509136,0.6730432138496744,0.6977599959945301,0.7194445220616693,0.7372991854655325,0.7420575699617332,0.7058563985931293,0.6364131069228207,0.5594126656865154,0.4835601654760951,0.4107604847748884,0.3416589999175178
0.8464891316507785,0.7310239797860288,0.7057489128300578,0.7247060044593864,0.7511320111173545,0.7782841157668527,0.8023119137204716,0.8222648007007041,0.8283276600419219,0.7910900531060717,0.7190005755803793,0.6393435878811398,0.5611770574886076,0.486351219747731,0.41543836448365656
0.9323178316655004,0.8089802493277882,0.7824493427011222,0.8029480443517863,0.8316437062019678,0.8614095866979163,0.8879841187749747,0.9102407056211173,0.9178091589582674,0.8797330480263666,0.8052269287122068,0.7231919131022398,0.6430184146232168,0.5664802903930451,0.4940630407231889
1.0195643611616887,0.8882596349802878,0.8605134884434079,0.8826200195447187,0.9137012978337494,0.9462573257818564,0.975585821469026,1.0003593501366097,1.0096490113447818,0.970964721678312,0.8943174189489981,0.8102304126253815,0.7284017979510793,0.6505064832486783,0.5769294362659527
1.1070538071434597,0.9677706982760176,0.9388636319098084,0.962635163938594,0.9962071646104984,1.0317232819685231,1.0640126518848083,1.0915206113869107,1.1027588857808668,1.0637283629946144,0.985261365528289,0.8994951661897137,0.8164063521558942,0.7375478663983469,0.6631906702175624
1.1933603264591175,1.046182319140943,1.016181820991388,1.0416639939934285,1.077817178767626,1.1164521643054763,1.1519042907446284,1.1823641656798176,1.1957866092822602,1.1567011132988698,1.0767800093360844,0.9897511863257916,0.905836200433145,0.8264430437962507,0.7517158173071689
1.276813271098032,1.1219269059335784,1.0909123488176788,1.1181369267067778,1.1569434288153673,1.1988399695644298,1.2376465154669056,1.2712708953235672,1.287116682383679,1.248292874658015,1.167323227989694,1.0794867962179242,0.9952125459828488,0.9157411133368404,0.8410778818090757
1.3554891315629047,1.1931884419110608,1.16124909025698,1.1902319070820098,1.2317421787434153,1.2770220022470642,1.3193589583436265,1.356350179630179,1.3748568087985853,1.3366312692862403,1.2550522938357282,1.1668941020694523,1.0827519869552986,1.0036779998999827,0.9295283298922149
1.427382313492799,1.2580686391259748,1.225301044563862,1.2560403806923035,1.3002803833731114,1.349039709474328,1.3950619205753476,1.4356064442069094,1.4570038661699047,1.4197261963915164,1.3380023943293238,1.2500294663385918,1.1665251348696313,1.0883334274514511,1.015152606349169
1.4903177987184415,1.3144942592502145,1.280999175226892,1.3134747717878197,1.3604440353136258,1.4127497834420448,1.4625859081373735,1.506848852191764,1.53135340237453,1.4953782411328913,1.4139893421173004,1.3267186048886526,1.2443603643875254,1.16753355804521,1.095771851099254
1.5495623559443916,1.367823154598333,1.333702218427426,1.3678750041185077,1.4175456787166756,1.4734326464182728,1.5271808103114908,1.575300898974103,1.603109329952755,1.5687877069671623,1.488217464142774,1.402163503675564,1.321450057962563,1.2464567976245238,1.1765484283186465
1.610865047349878,1.423867043216083,1.389218108060562,1.42503510666611,1.4773594034568074,1.5368387132873793,1.5945744084740376,1.6466707491688044,1.677964170960157,1.6456399978291882,1.5663678715493,1.4820346483273128,1.4034478748064927,1.3307365292735915,1.2630941061777323
1.6735532744157544,1.4819958024011224,1.4469097932840242,1.4843081999216965,1.539224972036355,1.6022923320521734,1.6640768807340778,1.7202568006685028,1.755206463171423,1.7252168594721862,1.6477149708985883,1.5655929498578034,1.4895957889796982,1.4195928734549694,1.354606139203364
1.7374700055950498,1.54209251824242,1.506652346311968,1.545558692279432,1.6029922378720287,1.6696260525139812,1.735504198681766,1.7958606637129952,1.8346253756374973,1.807297811719757,1.7320273593967208,1.6525893148725783,1.5796213701853583,1.512727227867763,1.4507589714842954
1.802275791121107,1.6038532801612952,1.568132583196741,1.6084623713199322,1.668321987446124,1.7384824155157437,1.8084808701410613,1.873090757279426,1.915814943533543,1.8914645005333093,1.8188719942723912,1.742568730365938,1.6730419299291572,1.6096265653450217,1.5510087306105778
