Values,Values_04_33_26,Values_04_44_21,Values_04_55_15,Values_05_06_06,Values_05_17_02,Values_05_27_45,Values_05_38_22,Values_05_48_30,Values_05_58_35,Values_06_08_35,Values_06_18_19,Values_06_28_05,Values_06_38_07,Values_06_48_10,Values_06_58_20,Values_07_08_20,Values_07_19_00,Values_07_29_34,Values_07_39_44,Values_07_49_52,Values_08_00_00,Values_08_10_07,Values_08_20_15,Values_08_30_23,Values_08_40_30,Values_08_50_38,Values_08_54_17
0.0502098225652437,0.1006117655282035,0.1157577874366874,0.1253622459873666,0.1343139798245892,0.1430540944906694,0.1515511279738206,0.1597356858728089,0.1675509393524076,0.1749586322122982,0.1819386414849079,0.1884867225793597,0.194611149237499,0.2003286978672083,0.2056604972825651,0.2106282142078728,0.2152508876074054,0.2195425483624626,0.2235106376219229,0.2271551987196244,0.230468848510499,0.2334375828967463,0.2360424753761672,0.2382622409781435,0.240076460081265,0.2414690413175837,0.2424313483049321,0.24267232177690468
0.0806757790964972,0.1353163692863607,0.151671696704035,0.1619523734313707,0.1715284621307982,0.1808857854237213,0.1899899964012345,0.1987646533281637,0.207146738847823,0.2150933532885606,0.222581364099374,0.2296050563081924,0.2361725443260369,0.2423014341411884,0.248014310508555,0.253334570137969,0.2582829491873297,0.2628748990009139,0.2671188278987396,0.2710151833391888,0.2745563813475377,0.2777276429540839,0.2805088022489952,0.2828770577126401,0.2848104462038809,0.2862915855433319,0.2873110632015634,0.28756489726969164
0.116456299396145,0.1754384827924419,0.1930224088567822,0.2039744232080004,0.2141691413494488,0.2241394970972273,0.2338481838951873,0.2432113659933295,0.252159469902286,0.2606446115909334,0.2686403593337469,0.2761393048962784,0.2831492526646993,0.2896885561636587,0.2957812328526951,0.3014524318951645,0.306724640858778,0.3116148042293573,0.3161323767698438,0.3202782858550388,0.3240448108861613,0.3274164447675161,0.3303718081857087,0.3328865879688628,0.3349372638490078,0.3365051358536319,0.337579981606957,0.3378460263402386
0.157542320771431,0.2209832436912754,0.2398184135187738,0.2514374353594557,0.2622454213182764,0.2728250899035299,0.2831361057285065,0.2930868660474505,0.3026008433222121,0.3116247992047884,0.32012868807349,0.328103166124784,0.3355555641241036,0.3425048945718549,0.3489765834341173,0.3549975581633555,0.360592118277029,0.3657787819981836,0.3705681381109498,0.3749616773159884,0.3789516126623894,0.3825217595755059,0.3856495527708601,0.3883091713172393,0.3904755211703614,0.3921285532164485,0.393257196710252,0.3935348798572367
0.2038134375795514,0.2718441713758694,0.2919563833484704,0.3042382887935057,0.3156541926422672,0.3268395718732026,0.3377510038235276,0.3482887216933123,0.3583688163867702,0.3679322958800187,0.3769451597605884,0.3853958655943889,0.3932910926867027,0.4006504163028894,0.4075006449719232,0.4138705132801383,0.4197861996548564,0.4252678851332591,0.4303273893331904,0.4349668585602617,0.4391785173270063,0.4429455597076087,0.4462442648424196,0.4490473082724734,0.4513280035083485,0.4530649171177308,0.4542460866172175,0.45453494354584756
0.2550361310244007,0.3278009695068537,0.3492188681327691,0.3621593443752222,0.3741774270139891,0.385964642344734,0.3974744393857253,0.4085984701689307,0.4192449891517809,0.4293488226521231,0.4388716482086042,0.4477994401068496,0.4561380329837512,0.4639074598669191,0.4711358832082282,0.4778538759669949,0.4840895686665056,0.4898649029526219,0.4951930360454772,0.5000768721082788,0.5045087338759329,0.5084712572573377,0.5119396007820942,0.5148849424829075,0.5172789838215145,0.5190988686291558,0.5203316944221399,0.5206314124287325
0.3108675938886925,0.388522905182697,0.411277570766299,0.424871687525833,0.4374853887509436,0.4498698694335925,0.4619754349296424,0.473684725024159,0.4848976794496941,0.4955424884609211,0.5055761147090826,0.51498174275237,0.523764153155381,0.5319437218019031,0.5395499326110758,0.5466152296353247,0.5531697743479095,0.5592373754181178,0.5648326447314171,0.5699593573323174,0.5746100310627344,0.5787668153513601,0.5824037891821684,0.5854906423096778,0.5879974447107116,0.5898998763849943,0.5911840415626063,0.591494522046386
0.3708646639881069,0.4535772944937933,0.4777017403047283,0.4919435106523321,0.5051450089949137,0.5181210518165658,0.5308188211738091,0.5431115079363893,0.5548902414350854,0.5660760988347989,0.5766209114626779,0.5865047464774883,0.5957311043467576,0.6043205779690172,0.6123039351696226,0.6197155240372701,0.6265876205103462,0.6329460147027312,0.6388069003994936,0.6441750476873087,0.64904327733377,0.6533933336151518,0.6571982644468525,0.6604262850087854,0.6630458154951538,0.6650310287436575,0.6663669771100248,0.6666884187780245
0.4344975642286455,0.5224428055640365,0.5479713972149645,0.5628533542099484,0.5766331451210871,0.590193491122229,0.6034785187416342,0.6163515384758821,0.6286943643416995,0.6404204663540505,0.6514761078223321,0.6618378911005575,0.6715077939883667,0.6805064887245562,0.6888659829238077,0.6966225602378038,0.7038106977147168,0.7104582881302314,0.7165832438196894,0.7221914649685777,0.727276194279007,0.7318188625098774,0.7357915433098173,0.7391609964010714,0.7418939757438934,0.7439631016641068,0.7453523102609859,0.7456853156183314
0.5011662828742564,0.5945254249292913,0.6214932394956411,0.6370060570288179,0.6513525780503664,0.6654880297655917,0.679353611609651,0.692802340715226,0.7057062120657489,0.717970584929835,0.7295357024836752,0.7403743376719626,0.7504866871844765,0.7598933523902278,0.7686275284224341,0.7767274625614382,0.7842299206143069,0.791165024111031,0.7975525484829212,0.8033996689534456,0.8087001798777109,0.8134353004325341,0.8175761954515973,0.8210881941739067,0.823936370020549,0.8260917433203454,0.8275370629773616,0.8278827688102315
