Values,Values_02_20_26,Values_02_37_41,Values_02_54_59,Values_03_12_26
-2.5739549861782605,-2.6195367232473585,-2.671996275430681,-2.720114936317291,-2.763327369978169
-2.6862171702496904,-2.73460576496806,-2.7871323290127856,-2.8349602539707512,-2.8777154433105916
-2.7806241623735155,-2.8314385100945163,-2.88378096612486,-2.9310834029397057,-2.973154143875295
-2.8563504371186723,-2.909204476364199,-2.9611163841589643,-3.007665894802081,-3.0488336843339425
-2.912793282105415,-2.9672991451692274,-3.0185400985756083,-3.0641178707216707,-3.104174288843847
-2.949569212014383,-3.005339802924609,-3.0556767502948694,-3.100073993338853,-3.138822245954671
-2.966510404388679,-3.0231616852414858,-3.072370500686087,-3.115390201005216,-3.1526470881975026
-2.963661191026617,-3.020814460249622,-3.068682003788052,-3.110141255575941,-3.1457397648808123
-2.941274060714386,-2.9985584637631706,-3.04488528197702,-3.0846183134191305,-3.1184109357899925
-2.899804294161422,-2.956859724536793,-3.0014634231336177,-3.03932530852438,-3.0711880403007683
-2.8399023354241955,-2.896382773567538,-2.9391019516077543,-2.974972850164716,-3.004809689048692
-2.7624032922315243,-2.8179805095284616,-2.8586790013336008,-2.892468612624426,-2.9202161992315765
-2.668313443356629,-2.7226808899749213,-2.7612519399852045,-2.7929037403305865,-2.818535666625328
-2.5587941657998443,-2.611670786214206,-2.6480407104943016,-2.677535462766499,-2.7010656948769936
-2.435144091559019,-2.4862777862774355,-2.520408672204307,-2.547766705914107,-2.5692515767527437
-2.2987803808160567,-2.347950861240785,-2.379841930852371,-2.405123779181393,-2.4246621071022707
-2.151219674466311,-2.198240529578136,-2.2279279306073505,-2.2512330752690217,-2.2689641488223646
-1.994058636762664,-2.038778522479677,-2.066333485671803,-2.0877971689200963,-2.1038965731786803
-1.8289532346992627,-1.871256181423596,-1.8967816554868864,-1.9165699291082712,-1.9312434302636026
-1.657595334676431,-1.697400223182977,-1.7210262346319902,-1.7393295871049008,-1.7528054922845615
-1.481685136987985,-1.5189444091865965,-1.5408224726101365,-1.557848480208701,-1.5703690150359522
-1.3028985864964773,-1.337596244562692,-1.357893168563405,-1.3738586475078003,-1.3856709333529758
-1.12285013953641,-1.154999065852231,-1.1738904773963623,-1.189013585618129,-1.2003607627627968
-0.94305283750673,-0.9726914624175076,-0.9903553319,-1.004848005485543,-1.0159609633283626
-0.764879086181513,-0.7920674558420253,-0.8086778678826655,-0.8227389038136675,-0.8338289738136418
-0.5895264230665537,-0.6143417756604307,-0.6300631666055164,-0.643872196535387,-0.6551250603254438
-0.417992550247389,-0.4405245812223782,-0.4555066511470135,-0.4692191955487858,-0.4807901710361292
-0.2510629675697786,-0.271409030830761,-0.2857825250041863,-0.299526269160273,-0.3115370630091413
-0.0893129022254471,-0.1075734333905524,-0.1214469639535916,-0.1353193496561687,-0.14785630139589018
0.0668767535687621,0.0506023065064419,0.0371442705714452,0.0230770964469765,0.009963309984321015
0.2172916765283353,0.2029081716797406,0.1898060792695458,0.1755089769246496,0.16180226062588124
0.361848086828087,0.3492670868018331,0.3364858502405932,0.3219531389875431,0.3076696540332137
0.5005527579988588,0.4896939309635982,0.4772213242705451,0.4624741123280897,0.4476588806742276
0.6334634013863432,0.6242549416705593,0.612099002269568,0.5971815825848735,0.581904229691013
0.7606531940230892,0.7530313623530648,0.7412170015639975,0.7261925396935228,0.7105424077745742
0.8821822463990658,0.8760901935791793,0.8646552573778057,0.8496010203559169,0.8336818974049901
0.9980776601359878,0.9934637379408854,0.9824547756485384,0.9674571580787956,0.9513818695501807
1.108322680509377,1.10513845942778,1.0946064549119552,1.079756050803815,1.0636411512839068
1.2128544471948457,1.2110526546474516,1.201048954352726,1.1864359018014483,1.1703966836485709
1.3115690764637744,1.3111016451738788,1.3016742829556036,1.2873840756376356,1.2715300813584267
1.4043323177002964,1.4051486969031262,1.3963392709617042,1.382449188221374,1.3668803748357305
1.4909938115193733,1.4930396489310511,1.4848808553773,1.471457114653442,1.4562607738254714
1.5714029918510115,1.574619246990029,1.5671331221516325,1.554228807325388,1.539477297647679
1.6454248812478898,1.6497473855198577,1.642944259304404,1.6305980300598366,1.6163473310237597
1.712954366816474,1.7183138065767043,1.7121919257412517,1.7004274697397883,1.6867165240215005
1.7739279440182378,1.7802502122926138,1.7747959580793204,1.7636221124562184,1.7504728871069433
1.828332330453984,1.835539172490204,1.8307277733098075,1.8201392164647088,1.807557386433987
1.876209734007016,1.884219601445227,1.880016228405448,1.8699946278757604,1.8579707679508495
1.9176598717051223,1.9263888989283915,1.922750029173126,1.913265526050147,1.901776689612179
1.952839074073902,1.9622020965063829,1.959077034884626,1.950089948399421,1.939101512322772
