Values,Values_03_21_40,Values_03_30_55,Values_03_40_08,Values_03_49_24,Values_03_58_37,Values_04_07_58,Values_04_17_15,Values_04_27_12,Values_04_37_48,Values_04_48_43,Values_04_59_25,Values_05_10_05,Values_05_20_48,Values_05_31_29,Values_05_41_45,Values_05_51_47,Values_06_01_44,Values_06_11_27,Values_06_21_15,Values_06_21_52
0.7725201876360752,0.7456012939022238,0.7945290639279087,0.8056615503470762,0.807952316538312,0.8085825002411552,0.8093959985311724,0.8108955633110057,0.8131881709558195,0.8162479837548208,0.8200032111940128,0.8243695964126478,0.8292644397600933,0.8346123200207332,0.8403469768983584,0.8464114069429537,0.8527571768364459,0.8593434499209138,0.8661359651578617,0.8731060769715286,0.8735293876873825
0.8076547439901631,0.7807617096858402,0.829599648282223,0.8407113193257707,0.8429958477458463,0.8436208287381785,0.8444267086290725,0.8459153715780783,0.848193683285306,0.8512359312415658,0.8549705157911047,0.8593133759908073,0.8641819921200473,0.8695011015504075,0.8752045820845682,0.8812355508311608,0.8875456807427865,0.8940942299924439,0.9008470231716764,0.9077754927791812,0.9081962454970498
0.8488480393053853,0.8219568739555345,0.870710137936328,0.8818079772572296,0.8840930210870808,0.8847193015020639,0.8855238024232319,0.8870075307595473,0.8892772486878632,0.8923073865599873,0.8960265566394023,0.9003509141837558,0.9051981370649932,0.9104931357993622,0.9161699379374918,0.9221717903689066,0.9284504796646448,0.9349653648187068,0.9416823611211728,0.9485729836354474,0.9489914020179663
0.8962651235073391,0.869343846703409,0.91801846126078,0.9291111052161172,0.9314050633758328,0.932040753085104,0.932851685696836,0.9343379834435104,0.9366063155968056,0.939631277225279,0.9433417176946348,0.9476540323597228,0.9524861173020388,0.9577630730441384,0.9634190902685345,0.969397556140329,0.9756503791146356,0.9821370256568585,0.9888235073083124,0.9956814265605612,0.9960978149356805
0.9498968838904628,0.922904532463675,0.9715072518739828,0.982604979792118,0.9849178886156322,0.9855726890887055,0.986399413733494,0.9878972972226364,0.9901729313904796,0.9932011026006736,0.9969109266375972,1.0012190662141334,1.0060436588485164,1.0113100138854576,1.0169524999501942,1.022914656002866,1.0291485213823215,1.035613677211244,1.0422762372445968,1.0491078966048402,1.0495226369213149
1.009532925553744,0.9824185495505928,1.0309566487371349,1.0420713140177067,1.0444147834039923,1.0450999179354323,1.0459532713332274,1.0474731949320693,1.0497662247716495,1.0528073701649314,1.0565260465572175,1.0608392141809146,1.065665277290238,1.0709297743133075,1.0765672676201643,1.0825214601654,1.0887445316494249,1.0951961853960976,1.1018426436345243,1.108655699599834,1.1090692461657317
1.0747410002163125,1.0474426527026148,1.095923635787471,1.1070685242820948,1.109455606136552,1.1101836853342235,1.1110758453102811,1.1126295679239275,1.114951362399936,1.1180164978247824,1.1217547259787692,1.1260833369394134,1.130921028295394,1.136193588559694,1.141835790051036,1.1477915121326068,1.1540130844739442,1.160460340255624,1.167099616574373,1.1739028104386406,1.1743156821695557
1.1448548487089003,1.1172985703672147,1.1657297827415012,1.176919385341242,1.17936436272997,1.180149174898706,1.1810934537714108,1.1826938375824334,1.1850568459342443,1.188158049420723,1.191927575409438,1.196283077249462,1.201143572708927,1.2064351211938689,1.2120927208031482,1.2180604393268697,1.2242907656792026,1.2307436703276822,1.2373856115284876,1.2441885957455352,1.2446013657277042
1.2189711032768036,1.1910698989976802,1.2394580306709404,1.250707718247389,1.2532258049567897,1.2540820223531566,1.2550925809953035,1.2567533153078687,1.2591708011306944,1.2623209564959508,1.2661343249046169,1.270528956061557,1.2754242136331544,1.2807464473371106,1.2864308955253498,1.2924218252566122,1.2986718930342624,1.3051412133708795,1.311796371546077,1.3186094889498907,1.3190227712167615
1.295955968134428,1.2676087707886576,1.3159592408800045,1.3272848316132224,1.3298917736357645,1.33083456738819,1.331926043772037,1.333661288591214,1.3361469883446306,1.339359457371594,1.3432296953669804,1.3476761792647578,1.3526186414944643,1.357983738626955,1.3637069611580737,1.369732784105726,1.3760140382179795,1.3825109875588513,1.3891903494295728,1.3960243650761803,1.396438798592776
