Values,Values_00_04_10
3.745865383323769,3.7414715288250746
3.725730763271732,3.7214039920700785
3.694895909410632,3.6906271899923246
3.6531762823547536,3.6489581809822824
3.6004000703987367,3.5962264995201383
3.53642124058405,3.532287211622518
3.4611359935548416,3.457037363480483
3.37449984087822,3.370433036861229
3.2765426847211065,3.272504391589333
3.167379809321801,3.163366610340628
3.0472175321211004,3.043225503615325
2.9163532738860343,2.912377546386006
2.775170730037614,2.7712050404102113
2.6241315747317344,2.6201678426695905
2.463765530427401,2.4597934968705717
2.294660641223004,2.290667604968953
2.11745530013377,2.1134259823986894
1.9328330509905665,1.9287496073280057
1.7415205508463674,1.7373627374773355
1.5442884941830155,1.5400339834273502
1.3419548302966504,1.3375796590575104
1.135389280977216,1.130868408247544
0.9255180466425964,0.9208259912218474
0.7133276086712964,0.708439136602011
0.4998666575651783,0.49475748969853495
0.2862454025166935,0.28089291534409483
0.0736317575864436,0.06801565423245967
-0.1367558452284448,-0.14265291287743198
-0.3436590111549125,-0.3498508843449288
-0.545793083489045,-0.5522896143337338
-0.7418635783014041,-0.7486702324673391
-0.9305847815106898,-0.9377023328118322
-1.1106998140376754,-1.1181241361140126
-1.281001407542976,-1.2887233661354536
-1.440352594893289,-1.448358042449848
-1.5877065276327256,-1.5959763999228307
-1.7221246870597249,-1.7306351990795241
-1.842792843452847,-1.851515779234978
-1.9490342364101736,-1.9579373245944849
-2.0403195807802947,-2.049366945217129
-2.116273669586514,-2.1254263421135415
-2.176678483713152,-2.185894964803313
-2.2214728574560145,-2.2307097097975994
-2.250748869775546,-2.2599613299849284
-2.2647452105163595,-2.273887804924466
-2.2638378390935405,-2.2728649906200498
-2.248528275922381,-2.257394890175423
-2.219429894354603,-2.2280919140625293
-2.177252587525188,-2.185667505153937
-2.1227861993052044,-2.130913518328236
-2.056883130057225,-2.0646847660330097
-1.9804405480634055,-1.9878811616951735
-1.894382665098296,-1.90142992101853
-1.799643544629985,-1.8062682918733917
-1.6971509071014153,-1.7033272800611252
-1.587811372728121,-1.5935168146409164
-1.472497522458182,-1.4777127368412644
-1.3520370830192552,-1.3567459216441975
-1.2272044543563063,-1.2313937529772645
-1.0987146921512831,-1.1023740670619486
-0.967219965844128,-0.9703415852902331
-0.8333084228272503,-0.8358867673331156
-0.6975053207974269,-0.6995369456667404
-0.5602762349135311,-0.5617595467072884
-0.4220321111029024,-0.4229671679880521
-0.2831359168591634,-0.2835242605761004
-0.1439106303094197,-0.14375515531260044
-0.004648305412172,-0.003953168638526137
0.1343800598779062,0.1356094870779749
0.2729141295618082,0.2746712675133715
0.4106936033735017,0.41297062988793637
0.5474476889689575,0.5502354680274721
0.6828850254375672,0.68617300325804
0.8166844661639184,0.8204605406389395
0.9484871720867304,0.9527375431885462
1.077890487635352,1.082599498189708
1.2044441106471877,1.2095940888592907
1.3276490391000524,1.3332201562673316
1.4469597098598868,1.452929868608732
1.561789637323833,1.568134407121142
1.6715206522657358,1.6782132694292744
1.775515588634768,1.7825270370724418
1.87313395526723,1.8804331412086162
1.9637497837289573,1.9713038124096194
2.0467705293160687,2.0545450838711945
2.1216556357815177,2.1296154488923804
2.187933259262784,2.196042657251668
2.24521367905526,2.2534371677147926
2.2931981450996,2.3015009980431356
2.331682330464301,2.340031136301088
2.3605540972819647,2.3689172224963797
2.379785899624105,2.388133830419456
2.3894227286141194,2.397728266676585
2.389566990962792,2.3978052936568126
2.3803620048443848,2.3885104775690364
2.361975875747796,2.3700139405253124
2.334587400257204,2.3424961777183095
2.2983753189471616,2.3061372689260433
2.253511790022828,2.261110358033024
2.200160455529815,2.2075797684609517
2.1384789648530926,2.145703610140242
2.0686253743416594,2.075640284099607
1.990767498820412,1.9975579458809587
1.9050940932759428,1.9116457916621479
1.8118266706169988,1.8181259605978344
1.7112308271115726,1.717264915975562
1.6036261186700025,1.6093833436493266
1.4893937740982517,1.4948638536833203
1.3689818247448853,1.3741560685666696
1.242907488046987,1.2477789426518346
1.1117568999243457,1.116320416871152
0.9761824857445838,0.9804347081486273
0.8368983685402993,0.8408376412043645
0.694674286906728,0.6983005025443346
0.5503284908664848,0.5536428899711987
0.4047200279775045,0.40772497247958056
0.2587407723971217,0.26143951341110455
0.1133074448178844,0.11570390293300184
-0.0306462432989321,-0.028547670077835756
-0.1721772577397711,-0.17037184760213267
-0.3103407549040378,-0.308823571275523
-0.4441975378042115,-0.4429634923145099
-0.5728215663876675,-0.5718654383959108
-0.6953076514848257,-0.6946240702209469
-0.8107794348571427,-0.8103628326359875
-0.9183977007891548,-0.9182422472239306
-1.01736900500026,-1.0174685325208648
-1.1069545296810812,-1.1073024600699095
-1.1864789993131029,-1.187068279599221
-1.2553394396711228,-1.256162493757168
-1.313013519190792,-1.3140622193036637
-1.3590672047209011,-1.360332864451349
-1.393161484098457,-1.3946348726827127
-1.4150579328026724,-1.4167293086051744
-1.4246229644740678,-1.4264821244782573
-1.4218306577385766,-1.4238669992813502
-1.4067640991001396,-1.4089666900474085
-1.379615235634063,-1.3819728895738266
-1.340683254060925,-1.343184607732437
-1.290371518705285,-1.2930051096191617
-1.2291831225428256,-1.2319374654255297
-1.157715097196543,-1.160578758398227
-1.076651332794879,-1.0796130020631576
-0.9867542709590846,-0.9898028299865055
