Values,Values_10_23_32,Values_10_34_05,Values_10_44_06,Values_10_54_03,Values_11_03_59,Values_11_14_02,Values_11_24_53,Values_11_35_15,Values_11_45_35,Values_11_55_55,Values_12_06_13,Values_12_16_30,Values_12_26_46,Values_12_29_02
1.0151746965722264,1.3607506890499106,1.5397031950537874,1.6885039463505256,1.7412618206716883,1.7641299780744053,1.7793237335128602,1.793227820531348,1.8075114737945643,1.8216499317527657,1.8338903901961765,1.8429119414501367,1.848864330533298,1.8526840760793648,1.8533290185635825
1.014732546948677,1.3341068421596494,1.4875874226464971,1.6260591947750662,1.6753664268221728,1.6964761428072568,1.710262634256448,1.722935351107873,1.7362217142068088,1.7497340806253388,1.761804689065068,1.7710329955727022,1.7773927396243958,1.781676872145162,1.7824230030069241
1.0142649700367083,1.3062555878033664,1.4333851403341378,1.56120081921979,1.6070245615646337,1.6263963614015184,1.6388014226338754,1.6502733023685472,1.6626028314931816,1.675543801681666,1.687511367294616,1.6970160881613157,1.7038467731731224,1.7086491096021832,1.7095069312378572
1.0137725015315868,1.2772477521922867,1.3772040395921048,1.4940491236987528,1.5363640465953696,1.5540260965381574,1.5650826810426528,1.5753906061618237,1.5868092447449715,1.5992380333474718,1.6111728479706535,1.6210261792574576,1.628393194673881,1.6337688505524794,1.6347491020126377
1.0132557301120673,1.2471393633016667,1.3191653297104342,1.424743042327986,1.463533315092854,1.4795225883610796,1.4892717455099067,1.4984597530436063,1.509019473485935,1.5209999831413572,1.5329755994241006,1.5432517844488034,1.5512217402895527,1.557226567112955,1.55834010853536
1.012715298050609,1.2159916558025496,1.259403926820775,1.3534405465344146,1.388701782133411,1.403065102505701,1.4115568121305466,1.4196767514130226,1.429435949479753,1.441036799537545,1.4531296834068694,1.463904420686949,1.4725444830092815,1.479234440980555,1.480492125698439
1.0121519016641678,1.183871034271473,1.1980684429799804,1.2803187166732568,1.3120598124440308,1.3248547316385826,1.3321485604203154,1.3392605732997112,1.3482842934529102,1.3595786981753144,1.3718677584710814,1.3832175161426687,1.392594673015486,1.4000251515541802,1.4014376884560968
1.0115662915928971,1.1508489914480464,1.1353209657535437,1.205573465898654,1.233818277188261,1.2451137480481511,1.2512792976124738,1.2574520975015209,1.265812073865466,1.2768775652014237,1.2894435657683538,1.3014448145148567,1.3116250869622188,1.319850187010997,1.3214279960452744
1.010959272894232,1.1170019789794197,1.071336623563929,1.1294189131615495,1.1542077027576394,1.16408451762865,1.169201642006186,1.1745125759023116,1.182287080748103,1.1932050768050255,1.206129940786607,1.2188583202837853,1.229905934594048,1.2389777280877483,1.240730792040876
1.010331704939955,1.0824112288443606,1.0063029369897178,1.052086411156054,1.0734770254067505,1.082027997598777,1.0861867763197308,1.0907216622493474,1.0979951613985777,1.1088503877944085,1.122216408076247,1.1357458445130004,1.1477223837709347,1.1576901664901518,1.1596278823082473
1.0096845011042015,1.0471625244696183,0.9404189610681504,0.97382324359168,0.9918919756231904,0.9992218510295452,1.0025223131029086,1.0063750538978835,1.0132376758396562,1.0241174528198442,1.0380064262506823,1.052408220445617,1.0653717740243205,1.0762813283849677,1.078412361340104
1.009018628230696,1.011345921416143,0.8738942283190686,0.8948910140553232,0.9097331250263546,0.9159582203597882,0.9185098232516088,0.9217818056786856,0.9283286380512152,0.9393220512716632,0.953814357224216,0.9691562640968482,0.9831605940771274,0.9950534781771432,0.9973856221017116
