Values_11_33_14,Values_11_41_05,Values_11_48_55,Values_11_56_46,Values_12_04_38,Values_12_12_29,Values_12_20_24,Values_12_26_03
1.990287464,2.030406093,2.065772907,2.09752273,2.125595351,2.149717898,2.169871486,2.182086284
1.980437176,2.021087486,2.056924345,2.089060967,2.117451279,2.141835365,2.162205317,2.174553162
1.958436828,1.999643413,2.035974104,2.06851621,2.097238025,2.121893322,2.14248602,2.154969936
1.931217251,1.972999212,2.009843302,2.042805936,2.071869838,2.096803131,2.117622377,2.130243699
1.901545395,1.943918075,1.981292657,2.014688749,2.044103398,2.069319697,2.090367647,2.103126606
1.86864251,1.911617252,1.949536924,1.983377278,2.013149394,2.038651902,2.059929024,2.072824709
1.832419093,1.876001361,1.914476722,1.948768751,1.978902029,2.004691202,2.026195469,2.039225311
1.79280848,1.836996052,1.876032291,1.910778824,1.941272911,1.967345593,1.98907173,2.002231029
1.749607447,1.794388433,1.833983766,1.869181736,1.900031117,1.92637958,1.948318254,1.961599667
1.702716638,1.748067293,1.788211231,1.823850218,1.855042984,1.88165389,1.903790823,1.917183808
1.651994968,1.697877442,1.738549008,1.774609745,1.80612633,1.832979663,1.855294742,1.868785007
1.597337358,1.643697402,1.684863295,1.721316133,1.753128031,1.780196033,1.802662416,1.816231365
1.538646862,1.585411598,1.627024409,1.663827835,1.69589636,1.723142505,1.745725781,1.759350005
1.47585238,1.52292824,1.564924789,1.602024045,1.634299201,1.661677274,1.684334718,1.697985556
1.408908675,1.456179638,1.498479542,1.535805451,1.568224984,1.595678326,1.61835832,1.632001513
1.337803415,1.38512969,1.427634279,1.465102372,1.497591082,1.525052086,1.547693744,1.561289249
1.262561862,1.309779169,1.352370866,1.389880911,1.422350335,1.449740251,1.472273347,1.485775334
1.183252408,1.230172022,1.272714323,1.310150368,1.342498906,1.369728057,1.3920733,1.405430382
1.099991629,1.146401324,1.188739488,1.225970524,1.258084109,1.285052573,1.307122306,1.320278043
1.012949038,1.058615073,1.10057763,1.137458947,1.169212322,1.195811155,1.217510526,1.23040423
0.922351183,0.967021411,1.008422558,1.044797871,1.076056531,1.102169562,1.123398189,1.135966052
0.828484885,0.871893027,0.912535941,0.948240294,0.978863107,1.004369325,1.025023473,1.037200018
0.731699332,0.773570397,0.813251447,0.848114885,0.877957364,0.902733861,0.922709102,0.934428938
0.632406809,0.672463552,0.710977315,0.744829244,0.773747415,0.797672826,0.816867114,0.828066947
0.531081826,0.56905207,0.606197023,0.638871126,0.666725847,0.689684178,0.708001235,0.718622075
0.428258496,0.463883062,0.499467721,0.530807239,0.55746883,0.579353507,0.596706388,0.606695843
0.324526064,0.357566983,0.39141623,0.421279393,0.446632339,0.467350313,0.483664968,0.49297953
0.220522591,0.250771225,0.282732532,0.310997845,0.334945366,0.354421036,0.369639696,0.378246881
0.116926881,0.14421157,0.174160789,0.200731926,0.223200145,0.241378904,0.255463078,0.263343302
0.014448871,0.038641711,0.066488131,0.091298155,0.11223964,0.129090823,0.142023747,0.149171822
-0.086181226,-0.065158812,-0.039468404,-0.016453731,0.002942744,0.018461819,0.030250184,0.03667633
-0.184224633,-0.166397801,-0.142876285,-0.121656265,-0.103792186,-0.089582334,-0.078907461,-0.073177139
-0.27894614,-0.264284201,-0.242902619,-0.223440581,-0.207064731,-0.194113468,-0.184496595,-0.179420216
-0.369626177,-0.358041909,-0.338729364,-0.320952839,-0.305989923,-0.29421951,-0.28558154,-0.281102109
-0.455572381,-0.446923069,-0.429567966,-0.413370041,-0.399715094,-0.389022241,-0.381262095,-0.377308696
-0.536130232,-0.5302203,-0.514672829,-0.499914569,-0.487435347,-0.477693579,-0.470690522,-0.467179956
-0.610692423,-0.607277476,-0.593353159,-0.579866933,-0.568407079,-0.559469764,-0.553086302,-0.549925083
-0.678706696,-0.677498736,-0.664982833,-0.652576362,-0.641959178,-0.633663065,-0.627748252,-0.62483486
-0.739682016,-0.740355555,-0.729008123,-0.717469043,-0.707501691,-0.699670781,-0.694063808,-0.691291094
-0.793193012,-0.795391848,-0.784953224,-0.774054003,-0.764531962,-0.756981579,-0.751515483,-0.748773143
-0.838882757,-0.842227168,-0.832423717,-0.82192674,-0.812638383,-0.805179307,-0.799684703,-0.796861742
-0.876463995,-0.880558162,-0.871108133,-0.860770845,-0.851502028,-0.843944588,-0.838253335,-0.835240466
-0.905719011,-0.910158528,-0.900777907,-0.890357914,-0.880896482,-0.873054547,-0.867003281,-0.86369522
-0.926498356,-0.930877709,-0.92128599,-0.910546052,-0.900686213,-0.89238103,-0.885814525,-0.882112157
-0.938718665,-0.942638602,-0.932564418,-0.921277281,-0.910823808,-0.901887646,-0.894661981,-0.890474374
-0.942359787,-0.94543451,-0.934621072,-0.922574103,-0.911346324,-0.901625903,-0.893611399,-0.888857667
-0.937461435,-0.93932555,-0.927535845,-0.914535416,-0.902370953,-0.891730622,-0.882814534,-0.877425514
-0.92411954,-0.924434677,-0.911456344,-0.897331912,-0.884090122,-0.872414733,-0.862503651,-0.856423382
