Values,Values_10_08_38,Values_10_17_14,Values_10_25_44,Values_10_34_18,Values_10_42_55,Values_10_51_35,Values_10_54_55
1.398730117,1.369447725,1.386264975,1.402784297,1.416154751,1.426542864,1.434543498,1.437075488
1.244572116,1.215301305,1.233570997,1.25173093,1.266555247,1.278168118,1.287191621,1.290066547
1.088470511,1.059178815,1.078903111,1.098706546,1.114991416,1.127838296,1.137894928,1.141116717
0.931066502,0.901714811,0.922883045,0.944322525,0.962066378,0.976149866,0.98724446,0.990815243
0.773036589,0.743579185,0.7661675,0.789224868,0.80841746,0.823733046,0.835864566,0.839784513
0.615087433,0.58547229,0.609443418,0.634089518,0.654711542,0.671247185,0.684408289,0.68867545
0.457950191,0.428119533,0.453422731,0.479617194,0.501639949,0.519375687,0.533552343,0.538162505
0.302374376,0.272265486,0.298836661,0.326527781,0.349912921,0.368820565,0.383991721,0.388938284
0.149121316,0.118667583,0.146429604,0.175554349,0.200253735,0.220296652,0.236433999,0.241707886
-0.001042689,-0.031910513,-0.003047304,0.027436859,0.053392547,0.074525561,0.091593396,0.097182998
-0.147353401,-0.178705779,-0.148842845,-0.117084332,-0.089939969,-0.067770542,-0.049815328,-0.043924169
-0.289055743,-0.320962807,-0.290212501,-0.257275087,-0.229019076,-0.205875254,-0.187083065,-0.180907017
-0.425410828,-0.457940757,-0.42642522,-0.392414089,-0.363132418,-0.339084233,-0.319512525,-0.313070695
-0.555702777,-0.58892015,-0.556770053,-0.521799314,-0.491586344,-0.466711385,-0.446424296,-0.439738105
-0.679245179,-0.713209373,-0.680562521,-0.64475426,-0.613711999,-0.588094819,-0.567162684,-0.560255707
-0.795387086,-0.830150754,-0.797150595,-0.760633806,-0.728871058,-0.702602478,-0.681101241,-0.673999005
-0.903518423,-0.939126101,-0.905920183,-0.868829612,-0.836461031,-0.809637346,-0.787647887,-0.780377645
-1.003074742,-1.039561631,-1.00630004,-0.968774959,-0.935920045,-0.908642162,-0.886249563,-0.878840044
-1.093541269,-1.130932209,-1.09776603,-1.059949004,-1.026731044,-0.999103587,-0.976396356,-0.968877497
-1.174456223,-1.212764893,-1.17984474,-1.141880386,-1.108425401,-1.080555787,-1.057625068,-1.050027746
-1.245413445,-1.284641776,-1.25211641,-1.214150206,-1.180585906,-1.152583447,-1.129522231,-1.12187799
-1.30606436,-1.346202177,-1.314217253,-1.276394405,-1.242849195,-1.214824216,-1.191726577,-1.184067367
-1.356119372,-1.397144241,-1.365841183,-1.328305587,-1.294907628,-1.266970642,-1.243931014,-1.236288936
-1.395348767,-1.437226032,-1.406741063,-1.369634357,-1.336510708,-1.308771648,-1.285884147,-1.278291225
-1.423583231,-1.466266219,-1.436729535,-1.400190265,-1.367466104,-1.340033627,-1.317391433,-1.309879395
-1.440714095,-1.484144457,-1.455679543,-1.419842426,-1.387640363,-1.36062122,-1.338316018,-1.330916101
