Values,Values_03_44_43,Values_03_57_23,Values_04_09_41,Values_04_21_59,Values_04_34_37,Values_04_47_02,Values_04_58_00,Values_05_08_50,Values_05_20_17,Values_05_31_24,Values_05_42_15,Values_05_53_29,Values_06_04_58,Values_06_16_14,Values_06_27_37
2.3555970686775662,2.1778763673612422,1.8614067950992768,1.6361324604675886,1.5028848904243728,1.389115005739186,1.271676990680574,1.1674954266902124,1.091050768561828,1.0406245580901856,1.010083173533905,0.9941535918656624,0.989039313348828,0.9920602561048476,1.001276626840752,1.0152373665237693
2.339619811659604,2.160369860686764,1.8431532642764308,1.6223203503350827,1.493069837013538,1.3835124614048135,1.2706467560874657,1.171030439718865,1.0989114100450077,1.0525551178826602,1.0258783156940667,1.0136675837390217,1.012182854326188,1.018793548192407,1.0316006505557174,1.049184911016903
2.321184824947116,2.140998964839354,1.823750176978784,1.607912236666811,1.4828144090940156,1.3775924156730603,1.2694959752819943,1.174631387442041,1.1069429099775034,1.064679191462255,1.0418253747485873,1.033243620144906,1.0352620736988651,1.0453083012393156,1.0615305381012572,1.0825462557012242
2.300240457531886,2.119710405095827,1.8031689422307613,1.5928838094301674,1.47208776611584,1.3713075256638605,1.2681556178596998,1.1782055250888188,1.1150270751334304,1.076851049295553,1.0577486729148564,1.0526733630227705,1.0580329804166833,1.07132163409527,1.0907410821775807,1.114950274814785
2.2767391685009946,2.0964577897484578,1.7813888052121076,1.5772199087468648,1.4608719379834032,1.3646264108626822,1.2665743722807974,1.181678999890392,1.123065760168947,1.0889462217494488,1.073495013866321,1.07177214544182,1.0802763890497165,1.0965765413807258,1.118933957869234,1.1460536756195348
2.250637768706479,2.071201756956147,1.758396254904692,1.560913251200214,1.449160247381615,1.357532007623127,1.264717008848274,1.1849952614653767,1.1309793918452475,1.1008602210209468,1.0889326952239733,1.0903783754885827,1.10179782422779,1.1208424163255808,1.1458389908875508,1.1755431488810446
2.221897785463613,2.043910160684532,1.7341844024094075,1.5439630700127835,1.436955570516821,1.3500197098990787,1.262562504864867,1.1881132285314109,1.1387052572697534,1.1125070475847882,1.1039503381800322,1.1083528011022472,1.1224273401274056,1.1439155521961195,1.1712154766288447,1.2031376504092117
2.190485944814329,2.014558287538482,1.7087523359298444,1.5263736906924468,1.424268462519401,1.3420953225685557,1.260101958340062,1.1910052380108178,1.1461955802153176,1.1238175009750184,1.1184555473492894,1.125577639391108,1.1420192456317293,1.1656195960130946,1.194853501982534,1.2285907379824292
2.156374761557797,1.9831290942331108,1.6821044599720107,1.5081530675391135,1.4111151789347631,1.333772859127837,1.2573363214905158,1.193654806557542,1.1534154123323332,1.1347373159647174,1.1323734132964751,1.141955571020428,1.160451720071562,1.1858059192179395,1.2165752088187738,1.2516928703088672
2.1195432234783897,1.94961345453051,1.6542498290359209,1.4893113112073173,1.397515631168072,1.325072222492938,1.2542739918397938,1.1960542402338814,1.1603403705864404,1.1452251481649232,1.1456448712472092,1.157408599016589,1.1776263004833598,1.204353862809223,1.2362359273529422,1.2722735599426267
2.079977553112597,1.9140104047159536,1.625201489651639,1.4698592428167334,1.3834913208662392,1.316016815578655,1.2509283064524055,1.1982021350308316,1.1669542580722314,1.1552504374129633,1.158224931978523,1.171876771608059,1.1934672190594573,1.221170809407756,1.253725099546209,1.2902032610310246
2.0376720280392995,1.876327378002442,1.5949758485696963,1.449807015231214,1.3690633052627643,1.3066311364674217,1.2473149930067975,1.2001008184850952,1.1732466119208989,1.1647911825037112,1.1700808043613344,1.1853167702149623,1.2079205687881136,1.236192031817729,1.268966907745115,1.3053948661539747
1.99262983908748,1.836580420479596,1.563592088734359,1.4291628463899602,1.3542502516647288,1.2969384204858203,1.2434496392085952,1.2017537900467277,1.179210228601827,1.1738316662485124,1.1811899330297784,1.1977003661044283,1.2209532760861297,1.2493802670764915,1.28192052231745,1.3178046850719523
