Values,Values_02_26_06,Values_02_35_19,Values_02_44_07,Values_02_52_57,Values_03_01_44,Values_03_10_39,Values_03_19_25,Values_03_28_19,Values_03_37_14,Values_03_44_21
0.942130749608434,1.1787461920071125,1.2269701763804042,1.3283806414332968,1.4339403770680066,1.5253377780394075,1.5968824566771438,1.649893813213443,1.688083010938664,1.715216676095397,1.731055380439917
0.9444005602462012,1.190776196840847,1.2472491087757818,1.357233578863679,1.4700670632642463,1.5670647345875777,1.642681182647851,1.6985697369779038,1.7387683916799077,1.76730068424791,1.7839453319019944
0.9469037507522888,1.203187864441723,1.2679926939870396,1.3865698116440115,1.5066425446078673,1.609180076921384,1.6888045215411165,1.747514557815113,1.789678289057765,1.8195755714826265,1.837005728792617
0.9496344253873265,1.215945863898497,1.289130623302882,1.4162883509356592,1.5435408801205577,1.6515389449266094,1.7350939725211347,1.7965602027546896,1.8406379868018885,1.8718620228146703,1.8900546170778296
0.9525860291093332,1.2290116349229991,1.310589701729849,1.4462859711248572,1.5806347336915914,1.693995942095609,1.7813912555225278,1.845539430388142,1.891474067490973,1.923982368471815,1.9429118957714089
0.9557513708992128,1.2423435622519936,1.3322941615875916,1.4764576451496298,1.61779590867829,1.736405745233895,1.8275389746276944,1.894286531389876,1.9420151384476287,1.9757613270879597,1.9954000699347876
0.9591226493773516,1.2558971671167638,1.3541659842458802,1.5066969774210657,1.654895870152182,1.7786236935251936,1.87338125435665,1.9426379971316683,1.9920925222069576,2.027026710935413,2.0473449642204593
0.9626914805676636,1.2696253143925105,1.376125227777141,1.5368966313867691,1.6918062512383365,1.820506352906245,1.9187643444143991,1.990433151612112,2.041540906530756,2.07761008798051,2.098576391629621
0.966448927650885,1.283478433915206,1.3980903582622757,1.5669487488036429,1.7283993400208817,1.8619120516985783,1.963537188392828,2.037514741830729,2.0901989488103108,2.127347395388951,2.148928771978757
0.9703855325397788,1.2974047543478804,1.4199785824765505,1.596745357835572,1.7645485435456858,1.9027013834783408,2.0075519519217813,2.083729481699096,2.137909829634578,2.1760794990191124,2.1982416944682983
0.974491349100042,1.3113505478879162,1.4417061796930783,1.6261787671671626,1.8001288255435348,1.9427376732438089,2.0506645058188897,2.1289285446140243,2.1845217503159446,2.223652693444615,2.246360418742497
0.9787559778336392,1.325260384035324,1.4631888303776734,1.6551419434329877,1.8350171146321563,1.981887403075548,2.0927348599159727,2.1729679999404623,2.22988836928584,2.269919137167,2.2931363089496504
0.9831686018356374,1.3390773905903786,1.4843419396116808,1.6835288694054182,1.8690926799391965,2.020020593686336,2.133627543455435,2.2157091888811995,2.2738691725158744,2.3147372179359165,2.3384271955773954
0.9877180238315572,1.3527435200189004,1.5050809531705975,1.7112348805664357,1.9022374713266927,2.0570111385362133,2.1732119282646414,2.2570190355605755,2.316329773502976,2.357971843504407,2.3820976602660804
0.992392704099728,1.3661998193160094,1.5253216643067309,1.7381569779119774,1.934336421695358,2.0927370875492044,2.2113624913391305,2.2967702896304285,2.3571421388890936,2.399494653721423,2.4240192394049167
0.9971807990821832,1.3793867015153187,1.5449805094345286,1.7641941151031004,1.9652777092074727,2.127080877917486,2.247959014001604,2.334841697323486,2.3961847364725744,2.4391841506061547,2.464070543093719
1.002070200488205,1.3922442170303049,1.5639748510973048,1.7892474583870577,1.9949529776920096,2.1599295100176046,2.2828867154544388,2.371118098631924,2.433342603206721,2.476925743955723,2.5021372870030962
1.007048574696693,1.404712323078384,1.582223246803405,1.813220618062939,2.0232575139844067,2.191174667090888,2.3160363193054456,2.40549044917105,2.468507331762953,2.5126117110979056,2.538112235774795
1.0121034022670543,1.416731149525125,1.5996457025567896,1.8360198506590943,2.0500903815040257,2.220712778051761,2.3473040525120634,2.437855766288042,2.501576975345456,2.546141070594988,2.5718950578507935
1.0172220173731985,1.428241259595307,1.616163910169651,1.8575542314204485,2.075354509980224,2.24844502357584,2.3765915771458177,2.4681170000765325,2.5324558716603334,2.577419371008734,2.6033920929772134
