Values,Values_03_49_29,Values_04_02_31,Values_04_14_43,Values_04_27_40,Values_04_40_31
2.292926712038878,2.5203020446036333,2.606673839350999,2.7048390549096264,2.7613866766360657,2.8068444090463767
2.2853510520042613,2.514844218993445,2.6034022588267187,2.702344973196526,2.759037184299846,2.8045111947236103
2.278049444912484,2.509508778504544,2.600235963191227,2.6999107678730665,2.7567195433150404,2.8021910299593786
2.271017264313848,2.504274855456352,2.5971500733516506,2.6975107061510712,2.754408501079293,2.799858988851334
2.264245852097388,2.499116872352777,2.594115024832192,2.695114811322985,2.752074780251359,2.7974861819061365
2.2577193003576186,2.494001360181821,2.591093435582048,2.692685760585418,2.7496819814871687,2.7950366580957446
2.251415515880637,2.488888040003296,2.58804121319932,2.6901800043325483,2.747187705615441,2.7924685304283146
2.2453062908616204,2.4837298999039352,2.5849076461838187,2.6875478608164247,2.744543654831729,2.7897340892586273
2.2393577889991696,2.478473671995725,2.5816358757269247,2.684733977549212,2.7416961032971843,2.7867802942454674
2.2335310609483665,2.473060322833984,2.578163358585144,2.6816777683261925,2.738586346362028,2.783549255458222
2.227782680720867,2.4674256480908068,2.5744224074463835,2.678313909157156,2.7351512109881724,2.779978786672525
2.222065463728235,2.4615009324821235,2.570340765694367,2.674572846593388,2.7313235794480644,2.7760029827262795
2.216329259905208,2.455213669651446,2.5658422070810047,2.6703813047774725,2.7270329101245228,2.7715528035141257
2.210521804892452,2.4484883274374685,2.56084714165444,2.665662767589972,2.722205727981075,2.766556634646267
2.204589614050344,2.441247147049526,2.5552732125637614,2.660337914630807,2.7167660580791737,2.7609407940048665
2.1984789032444745,2.4334109652691613,2.549035869263103,2.654324989716869,2.710635773685317,2.7546299497092117
2.192136520823285,2.424900050782421,2.5420489050807458,2.647540082063811,2.703734830043416,2.747547412371196
2.185510875856084,2.4156349479430896,2.534224949961939,2.639897302290005,2.695981354793168,2.7396152620390373
2.1785528487033976,2.405537323804676,2.525475912617073,2.631308838115648,2.687291566668928,2.7307542683291923
2.1712166711616114,2.3945308168829333,2.515713370113495,2.621684878062235,2.677579495573398,2.720883561085822
2.163460764660253,2.3825418886403886,2.5048489070284714,2.610933395630021,2.6667564795838974,2.709920008803083
2.155248526169999,2.3695006809022248,2.492794410499315,2.598959791393831,2.654730418153252,2.697777263387412
2.146549052501149,2.3553418841095617,2.479462331748922,2.585666396308904,2.641404766038184,2.6843644331342436
2.13733779445324,2.340005622288111,2.4647659288338266,2.570951846407198,2.6266772597337824,2.6695843516784956
2.127597132768767,2.3234383606827245,2.4486195093940184,2.55471034720712,2.610438377943647,2.653331419942006
2.117316868036045,2.3055938410405536,2.430938696049242,2.536830855838008,2.592569550511289,2.6354890117070777
2.106494616609481,2.286434047429468,2.411640740793639,2.5171962204421354,2.572941147054547,2.61592645255884
2.095136104342449,2.2659302022299888,2.3906449183271805,2.495682330251862,2.5514102981670503,2.594495607936285
2.083255349570876,2.244063787591189,2.367873031779324,2.472157346237517,2.527818629444033,2.5710271504975006
2.07087472648613,2.22082758233269,2.3432500677597887,2.446481101691513,2.5019900227068743,2.545326621665272
2.0580248999571924,2.1962266982388545,2.3167050410821144,2.418504784663408,2.4737285604321926,2.517170458827883
2.04474462317178,2.1702795932501644,2.288172072686173,2.388071039511676,2.442816858906001,2.486302229737273
2.031080390323184,2.1430190326166323,2.25759174686735,2.3550146520935624,2.409015052597862,2.4524294000235836
2.0170859381051365,2.1144929631049223,2.224912795237581,2.3191640104602107,2.3720607549430315,2.4152210579580125
2.0028215920806174,2.084765260338153,2.1900941538545524,2.2803435573067405,2.331670385411919,2.3743071299085647
1.988353457094766,2.053916305770562,2.1531074351882187,2.2383774672454666,2.2875423129681285,2.3292797341119504
1.973752454775081,2.0220433480643205,2.1139398461613688,2.1930947848835323,2.2393623117887054,2.279697428218308
1.9590932156993823,1.9892606040278653,2.07259756521726,2.144336240645789,2.18681184237755,2.22509318981525
1.9444528388425968,1.9556990569103363,2.0291095630051075,2.091962910968043,2.1295796417194115,2.1649870032666976
1.9299095362000376,1.9215059146691145,1.983531811016899,2.035866798326964,2.0673770083822465,2.0989038770148047
1.915541185747895,1.886843697605232,1.935951769536094,1.9759832664768964,1.999956979937148,2.026397942521064
